detecteddistrict,Confirmed,Recovered,Deceased,Active
Ahmedabad,22743,17633,1489,3621
Amreli,129,78,9,42
Anand,279,241,13,25
Aravalli,244,203,24,17
Banaskantha,311,184,15,112
Bharuch,378,188,11,179
Bhavnagar,506,211,14,281
Botad,114,75,3,36
Chhota Udaipur,75,52,2,21
Dahod,123,52,1,70
Dang,7,4,0,3
Devbhumi Dwarka,28,21,3,4
Gandhinagar,836,590,31,215
Gir Somnath,118,51,1,66
Jamnagar,331,158,10,163
Junagadh,246,70,4,172
Kheda,265,170,14,81
Kutch,222,124,5,93
Mahisagar,168,118,2,48
Mehsana,397,183,15,199
Morbi,68,24,3,41
Narmada,101,90,0,11
Navsari,223,109,1,113
Other State,86,36,1,49
Other state,2,0,0,2
Panchmahal,231,167,15,49
Patan,267,175,18,74
Porbandar,23,16,2,5
Rajkot,568,179,17,372
Sabarkantha,238,144,8,86
Surat,7306,4450,207,2649
Surendranagar,256,122,10,124
Tapi,40,9,0,31
Vadodara,2867,2011,49,807
Valsad,310,103,5,202
dahod,1,0,0,1
kutch,6,6,1,-1
other state,-2,0,0,-2
surendranagar,4,7,0,-3
vadodara,35,25,0,10
