detecteddistrict,Confirmed,Recovered,Deceased,Active
Angul,122,92,1,29
Balangir,260,212,0,48
Balasore,505,375,2,128
Bargarh,168,138,1,29
Bhadrak,280,255,3,22
Boudh,50,42,0,8
Cuttack,941,643,8,290
Deogarh,66,61,0,5
Dhenkanal,95,79,0,16
Gajapati,568,437,1,130
Ganjam,3416,1892,35,1489
Jagatsinghpur,373,298,0,75
Jajpur,759,500,1,258
Jharsuguda,134,126,0,8
Kalahandi,79,70,0,9
Kandhamal,193,185,0,8
Kendrapara,290,258,1,31
Kendujhar,278,147,1,130
Khordha,1193,820,12,361
Koraput,84,47,0,37
Malkangiri,134,101,0,33
Mayurbhanj,317,214,2,101
Nabarangapur,89,53,1,35
Nayagarh,228,157,0,71
Nuapada,86,82,0,4
Others,0,0,0,0
Puri,338,246,2,90
Rayagada,139,123,1,15
Sambalpur,110,56,0,54
Subarnapur,44,37,0,7
Sundargarh,616,208,2,406
