detecteddistrict,Confirmed,Recovered,Deceased,Active
,485,3116,183,-2814
Adilabad,64,7,0,57
Bhadradri Kothagudem,74,0,0,74
Foreign Evacuees,33,0,0,33
Hyderabad,25053,156,16,24881
Jagtial,44,0,0,44
Jangaon,92,0,0,92
Jayashankar Bhupalapally,25,0,0,25
Jogulamba Gadwal,59,16,0,43
Kamareddy,86,0,0,86
Karimnagar,221,1,0,220
Khammam,130,2,0,128
Komaram Bheem,25,2,0,23
Mahabubabad,59,0,0,59
Mahabubnagar,161,0,0,161
Mancherial,104,0,0,104
Medak,142,1,0,141
Medchal Malkajgiri,1272,6,0,1266
Mulugu,36,0,0,36
Nagarkurnool,30,0,0,30
Nalgonda,231,1,0,230
Narayanpet,16,0,0,16
Nirmal,37,2,0,35
Nizamabad,191,3,0,188
Other State,250,0,0,250
Peddapalli,31,0,0,31
Rajanna Sircilla,70,2,0,68
Ranga Reddy,2125,7,0,2118
Sangareddy,344,1,0,343
Siddipet,41,0,0,41
Suryapet,155,20,0,135
Vikarabad,78,9,0,69
Wanaparthy,28,0,0,28
Warangal Rural,167,0,0,167
Warangal Urban,224,1,0,223
Yadadri Bhuvanagiri,33,0,0,33
