detecteddistrict,Confirmed,Recovered,Deceased,Active
,19,293,10,-284
Agra,1365,1075,90,200
Aligarh,708,386,24,298
Ambedkar Nagar,140,109,4,27
Amethi,313,287,1,25
Amroha,202,102,5,95
Auraiya,118,100,2,16
Ayodhya,397,259,4,134
Azamgarh,350,215,9,126
Baghpat,427,266,7,154
Bahraich,161,125,1,35
Ballia,341,126,2,213
Balrampur,108,71,2,35
Banda,70,40,0,30
Barabanki,586,354,3,229
Bareilly,519,209,15,295
Basti,400,327,15,58
Bhadohi,209,129,1,79
Bijnor,386,281,6,99
Budaun,196,135,2,59
Bulandshahr,858,564,24,270
Chandauli,238,142,3,93
Chitrakoot,101,95,2,4
Deoria,346,203,4,139
Etah,164,104,8,52
Etawah,371,248,17,106
Farrukhabad,243,148,8,87
Fatehpur,199,134,2,63
Firozabad,546,486,29,31
Gautam Buddha Nagar,3260,2160,31,1069
Ghaziabad,2862,1447,63,1352
Ghazipur,390,319,6,65
Gonda,208,160,7,41
Gorakhpur,538,346,16,176
Hamirpur,105,77,2,26
Hapur,820,625,17,178
Hardoi,290,217,6,67
Hathras,202,176,4,22
Jalaun,206,168,8,30
Jaunpur,640,485,9,146
Jhansi,465,115,33,317
Kannauj,298,236,2,60
Kanpur Dehat,78,57,1,20
Kanpur Nagar,1619,1037,76,506
Kasganj,160,75,0,85
Kaushambi,160,84,1,75
Kushinagar,212,120,4,88
Lakhimpur Kheri,142,111,0,31
Lalitpur,31,3,3,25
Lucknow,2010,983,28,999
Maharajganj,242,151,3,88
Mahoba,74,55,1,18
Mainpuri,280,246,11,23
Mathura,484,270,18,196
Mau,231,91,4,136
Meerut,1427,872,84,471
Mirzapur,213,91,3,119
Moradabad,671,415,27,229
Muzaffarnagar,400,267,12,121
Pilibhit,173,134,0,39
Pratapgarh,132,100,9,23
Prayagraj,503,288,15,200
Rae Bareli,170,130,4,36
Rampur,423,350,5,68
Saharanpur,528,386,2,140
Sambhal,460,332,8,120
Sant Kabir Nagar,343,221,7,115
Shahjahanpur,161,123,0,38
Shamli,185,130,3,52
Shrawasti,79,58,2,19
Siddharthnagar,297,223,9,65
Sitapur,88,49,1,38
Sonbhadra,75,38,0,37
Sultanpur,224,184,6,34
Unnao,303,159,3,141
Varanasi,778,418,33,327
