dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-24,1,1,0,0,0,0
2020-04-01,5,6,0,0,0,0
2020-04-02,3,9,0,0,0,0
2020-04-04,1,10,0,0,0,0
2020-04-05,7,17,0,0,0,0
2020-04-07,1,18,0,0,0,0
2020-04-08,2,20,0,0,0,0
2020-04-12,1,21,0,0,0,0
2020-04-13,2,23,0,0,0,0
2020-04-17,5,28,0,0,0,0
2020-04-20,25,53,0,0,0,0
2020-04-22,6,59,0,0,0,0
2020-04-23,14,73,0,0,0,0
2020-04-26,0,73,2,2,0,0
2020-04-27,0,73,3,5,0,0
2020-04-28,1,74,0,5,0,0
2020-04-29,3,77,0,5,0,0
2020-04-30,3,80,0,5,0,0
2020-05-01,0,80,6,11,0,0
2020-05-02,0,80,2,13,0,0
2020-05-03,1,81,13,26,0,0
2020-05-04,1,82,8,34,0,0
2020-05-05,0,82,3,37,0,0
2020-05-06,0,82,20,57,0,0
2020-05-08,3,85,6,63,0,0
2020-05-09,11,96,0,63,0,0
2020-05-10,16,112,0,63,0,0
2020-05-11,9,121,0,63,0,0
2020-05-12,10,131,0,63,0,0
2020-05-13,11,142,0,63,0,0
2020-05-14,9,151,3,66,0,0
2020-05-15,14,165,0,66,0,0
2020-05-16,8,173,0,66,0,0
2020-05-17,4,177,0,66,0,0
2020-05-18,15,192,5,71,0,0
2020-05-19,0,192,0,71,1,1
2020-05-20,16,208,15,86,0,1
2020-05-27,26,234,54,140,0,1
2020-05-28,4,238,7,147,0,1
2020-05-29,8,246,17,164,0,1
2020-05-30,7,253,5,169,0,1
2020-05-31,4,257,7,176,1,2
2020-06-01,5,262,4,180,0,2
2020-06-02,2,264,3,183,0,2
2020-06-03,8,272,4,187,2,4
2020-06-04,9,281,9,196,0,4
2020-06-05,4,285,2,198,0,4
2020-06-06,13,298,1,199,0,4
2020-06-07,1,299,3,202,0,4
2020-06-08,4,303,0,202,0,4
2020-06-10,24,327,8,210,0,4
2020-06-11,4,331,2,212,0,4
2020-06-12,14,345,9,221,0,4
2020-06-13,5,350,0,221,0,4
2020-06-14,3,353,3,224,0,4
2020-06-15,6,359,2,226,0,4
2020-06-16,4,363,3,229,1,5
2020-06-17,25,388,13,242,0,5
2020-06-18,18,406,4,246,0,5
2020-06-19,58,464,5,251,0,5
2020-06-20,51,515,6,257,0,5
2020-06-21,47,562,4,261,1,6
2020-06-22,29,591,0,261,0,6
2020-06-23,26,617,3,264,0,6
2020-06-24,40,657,9,273,0,6
2020-06-25,42,699,5,278,0,6
2020-06-26,26,725,1,279,0,6
2020-06-27,84,809,20,299,0,6
2020-06-28,82,891,25,324,0,6
2020-06-29,56,947,3,327,0,6
2020-06-30,107,1054,31,358,0,6
2020-07-01,35,1089,30,388,0,6
2020-07-02,47,1136,12,400,0,6
2020-07-03,47,1183,0,400,2,8
2020-07-04,67,1250,52,452,2,10
2020-07-05,74,1324,0,452,2,12
2020-07-06,120,1444,111,563,1,13
2020-07-07,66,1510,158,721,2,15
2020-07-08,255,1765,171,892,1,16
2020-07-09,236,2001,95,987,1,17
2020-07-10,208,2209,59,1046,2,19
