dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,1,1,0,0,0,0
2020-03-25,1,2,0,0,0,0
2020-03-26,1,3,0,0,0,0
2020-03-28,1,4,0,0,0,0
2020-03-31,1,5,0,0,0,0
2020-04-01,10,15,0,0,0,0
2020-04-02,8,23,0,0,0,0
2020-04-03,0,23,0,0,1,1
2020-04-04,5,28,0,0,0,1
2020-04-06,1,29,0,0,1,2
2020-04-08,6,35,0,0,0,2
2020-04-13,1,36,0,0,0,2
2020-04-14,8,44,0,0,1,3
2020-04-15,1,45,0,0,1,4
2020-04-16,3,48,0,0,0,4
2020-04-17,4,52,0,0,0,4
2020-04-18,17,69,0,0,0,4
2020-04-19,6,75,0,0,0,4
2020-04-20,5,80,0,0,1,5
2020-04-21,3,83,0,0,0,5
2020-04-22,3,86,2,2,0,5
2020-04-23,2,88,0,2,1,6
2020-04-24,14,102,0,2,0,6
2020-04-25,25,127,0,2,0,6
2020-04-26,53,180,0,2,0,6
2020-04-27,33,213,0,2,0,6
2020-04-28,13,226,0,2,0,6
2020-04-29,13,239,3,5,0,6
2020-04-30,10,249,0,5,0,6
2020-05-01,0,249,5,10,0,6
2020-05-02,12,261,7,17,0,6
2020-05-03,8,269,2,19,0,6
2020-05-04,12,281,0,19,0,6
2020-05-05,8,289,10,29,1,7
2020-05-06,14,303,61,90,1,8
2020-05-07,16,319,6,96,1,9
2020-05-08,6,325,3,99,0,9
2020-05-09,16,341,8,107,2,11
2020-05-10,1,342,3,110,0,11
2020-05-11,3,345,5,115,0,11
2020-05-12,4,349,35,150,1,12
2020-05-13,3,352,25,175,0,12
2020-05-14,2,354,1,176,0,12
2020-05-15,9,363,3,179,0,12
2020-05-16,7,370,5,184,0,12
2020-05-17,0,370,42,226,1,13
2020-05-18,15,385,10,236,0,13
2020-05-20,14,399,17,253,0,13
2020-05-23,0,399,0,253,1,14
2020-05-27,49,448,18,271,1,15
2020-05-28,0,448,8,279,0,15
2020-05-29,9,457,9,288,0,15
2020-05-30,2,459,7,295,0,15
2020-05-31,14,473,1,296,1,16
2020-06-01,7,480,4,300,0,16
2020-06-02,4,484,7,307,0,16
2020-06-03,5,489,3,310,1,17
2020-06-04,11,500,0,310,1,18
2020-06-05,8,508,0,310,2,20
2020-06-06,21,529,0,310,0,20
2020-06-07,25,554,5,315,1,21
2020-06-08,19,573,11,326,0,21
2020-06-09,0,573,0,326,1,22
2020-06-10,37,610,5,331,0,22
2020-06-11,25,635,7,338,1,23
2020-06-12,8,643,0,338,0,23
2020-06-13,25,668,4,342,2,25
2020-06-14,36,704,0,342,0,25
2020-06-15,56,760,11,353,0,25
2020-06-16,34,794,19,372,0,25
2020-06-17,30,824,0,372,0,25
2020-06-18,28,852,6,378,2,27
2020-06-19,82,934,23,401,2,29
2020-06-20,51,985,0,401,2,31
2020-06-21,66,1051,25,426,3,34
2020-06-22,15,1066,10,436,1,35
2020-06-23,33,1099,44,480,3,38
2020-06-24,36,1135,7,487,3,41
2020-06-25,47,1182,5,492,2,43
2020-06-26,20,1202,5,497,4,47
2020-06-27,53,1255,36,533,4,51
2020-06-28,79,1334,12,545,5,56
2020-06-29,52,1386,7,552,2,58
2020-06-30,84,1470,21,573,3,61
2020-07-01,52,1522,14,587,3,64
2020-07-02,75,1597,15,602,1,65
2020-07-03,17,1614,24,626,1,66
2020-07-04,70,1684,16,642,0,66
2020-07-05,62,1746,2,644,1,67
2020-07-06,55,1801,1,645,1,68
2020-07-07,100,1901,328,973,0,68
2020-07-08,70,1971,245,1218,2,70
2020-07-09,127,2098,52,1270,1,71
2020-07-10,80,2178,95,1365,2,73
