dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,1,1,0,0,0,0
2020-04-04,3,4,0,0,0,0
2020-04-05,49,53,0,0,0,0
2020-04-06,20,73,0,0,0,0
2020-04-07,1,74,0,0,0,0
2020-04-10,2,76,0,0,0,0
2020-04-11,5,81,0,0,0,0
2020-04-12,2,83,0,0,0,0
2020-04-14,7,90,0,0,0,0
2020-04-15,19,109,0,0,1,1
2020-04-16,3,112,0,0,0,1
2020-04-17,14,126,0,0,0,1
2020-04-18,6,132,0,0,1,2
2020-04-19,26,158,0,0,1,3
2020-04-20,16,174,0,0,1,4
2020-04-21,10,184,0,0,0,4
2020-04-22,19,203,0,0,0,4
2020-04-23,31,234,0,0,2,6
2020-04-24,27,261,0,0,1,7
2020-04-25,14,275,0,0,0,7
2020-04-26,4,279,24,24,0,7
2020-04-27,13,292,0,24,0,7
2020-04-28,40,332,12,36,0,7
2020-04-29,11,343,0,36,0,7
2020-04-30,43,386,0,36,0,7
2020-05-01,25,411,23,59,1,8
2020-05-02,25,436,0,59,0,8
2020-05-03,30,466,11,70,0,8
2020-05-04,25,491,9,79,0,8
2020-05-05,25,516,28,107,0,8
2020-05-06,17,533,39,146,1,9
2020-05-07,7,540,15,161,1,10
2020-05-08,7,547,23,184,2,12
2020-05-09,6,553,27,211,1,13
2020-05-10,13,566,21,232,1,14
2020-05-11,9,575,28,260,0,14
2020-05-12,9,584,17,277,0,14
2020-05-13,7,591,13,290,1,15
2020-05-14,0,591,19,309,1,16
2020-05-15,8,599,27,336,0,16
2020-05-16,9,608,47,383,1,17
2020-05-17,3,611,15,398,0,17
2020-05-18,4,615,28,426,0,17
2020-05-19,0,615,0,426,1,18
2020-05-20,23,638,14,440,1,19
2020-05-27,35,673,82,522,0,19
2020-05-28,15,688,3,525,1,20
2020-05-29,7,695,15,540,1,21
2020-05-30,9,704,4,544,0,21
2020-05-31,19,723,8,552,0,21
2020-06-01,1,724,6,558,2,23
2020-06-02,4,728,1,559,0,23
2020-06-03,12,740,11,570,1,24
2020-06-04,5,745,3,573,1,25
2020-06-05,0,745,7,580,0,25
2020-06-06,17,762,4,584,0,25
2020-06-07,10,772,7,591,1,26
2020-06-08,4,776,5,596,0,26
2020-06-10,57,833,10,606,0,26
2020-06-11,16,849,7,613,0,26
2020-06-12,23,872,7,620,0,26
2020-06-13,53,925,7,627,0,26
2020-06-14,51,976,22,649,1,27
2020-06-15,60,1036,8,657,1,28
2020-06-16,56,1092,13,670,0,28
2020-06-17,59,1151,13,683,1,29
2020-06-18,50,1201,5,688,0,29
2020-06-19,31,1232,5,693,0,29
2020-06-20,15,1247,29,722,2,31
2020-06-21,47,1294,3,725,1,32
2020-06-22,60,1354,30,755,1,33
2020-06-23,53,1407,15,770,3,36
2020-06-24,76,1483,30,800,4,40
2020-06-25,72,1555,20,820,2,42
2020-06-26,60,1615,46,866,4,46
2020-06-27,69,1684,58,924,4,50
2020-06-28,103,1787,28,952,6,56
2020-06-29,86,1873,6,958,5,61
2020-06-30,82,1955,13,971,2,63
2020-07-01,90,2045,77,1048,3,66
2020-07-02,75,2120,3,1051,1,67
2020-07-03,116,2236,31,1082,4,71
2020-07-04,118,2354,58,1140,3,74
2020-07-05,97,2451,70,1210,5,79
2020-07-06,136,2587,50,1260,0,79
2020-07-07,84,2671,51,1311,4,83
2020-07-08,51,2722,255,1566,3,86
2020-07-09,73,2795,44,1610,3,89
2020-07-10,144,2939,126,1736,2,91
