dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,1,1,0,0,0,0
2020-03-28,2,3,0,0,0,0
2020-03-31,8,11,0,0,0,0
2020-04-01,4,15,0,0,0,0
2020-04-02,2,17,0,0,0,0
2020-04-04,4,21,0,0,0,0
2020-04-05,2,23,0,0,0,0
2020-04-06,1,24,0,0,0,0
2020-04-08,4,28,0,0,0,0
2020-04-09,11,39,0,0,0,0
2020-04-10,2,41,0,0,0,0
2020-04-11,1,42,0,0,0,0
2020-04-18,2,44,0,0,0,0
2020-04-22,4,48,0,0,0,0
2020-04-23,2,50,0,0,0,0
2020-04-24,3,53,0,0,0,0
2020-04-26,3,56,11,11,0,0
2020-04-29,4,60,0,11,0,0
2020-05-02,1,61,19,30,0,0
2020-05-04,0,61,8,38,0,0
2020-05-06,0,61,2,40,0,0
2020-05-08,0,61,8,48,0,0
2020-05-10,2,63,0,48,0,0
2020-05-11,0,63,2,50,0,0
2020-05-13,0,63,-2,48,0,0
2020-05-16,0,63,3,51,0,0
2020-05-17,3,66,0,51,0,0
2020-05-20,1,67,0,51,0,0
2020-05-27,5,72,1,52,0,0
2020-05-28,3,75,2,54,0,0
2020-05-31,4,79,0,54,0,0
2020-06-01,1,80,0,54,0,0
2020-06-03,1,81,1,55,0,0
2020-06-04,3,84,0,55,0,0
2020-06-05,1,85,0,55,0,0
2020-06-08,1,86,2,57,0,0
2020-06-10,9,95,7,64,0,0
2020-06-11,2,97,0,64,0,0
2020-06-12,2,99,5,69,0,0
2020-06-14,2,101,5,74,0,0
2020-06-15,2,103,0,74,0,0
2020-06-16,0,103,2,76,1,1
2020-06-17,14,117,0,76,0,1
2020-06-18,11,128,0,76,0,1
2020-06-19,31,159,7,83,1,2
2020-06-20,16,175,0,83,0,2
2020-06-21,5,180,0,83,0,2
2020-06-22,7,187,1,84,0,2
2020-06-23,5,192,4,88,0,2
2020-06-24,8,200,0,88,0,2
2020-06-25,18,218,28,116,0,2
2020-06-26,28,246,5,121,0,2
2020-06-27,26,272,14,135,0,2
2020-06-28,41,313,0,135,0,2
2020-06-29,26,339,33,168,0,2
2020-06-30,31,370,20,188,0,2
2020-07-01,28,398,20,208,0,2
2020-07-02,79,477,20,228,0,2
2020-07-03,139,616,27,255,0,2
2020-07-04,57,673,38,293,0,2
2020-07-05,27,700,70,363,0,2
2020-07-06,38,738,40,403,0,2
2020-07-07,29,767,0,403,1,3
2020-07-08,2,769,82,485,0,3
2020-07-09,96,865,49,534,2,5
2020-07-10,110,975,70,604,0,5
