dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-25,3,3,0,0,0,0
2020-04-27,1,4,0,0,0,0
2020-04-29,1,5,0,0,0,0
2020-05-12,0,5,1,1,0,0
2020-05-13,0,5,3,4,0,0
2020-05-14,2,7,0,4,0,0
2020-05-17,7,14,0,4,0,0
2020-05-20,2,16,1,5,0,0
2020-05-27,5,21,3,8,0,0
2020-05-28,0,21,1,9,0,0
2020-05-30,2,23,0,9,0,0
2020-06-02,5,28,0,9,0,0
2020-06-03,1,29,2,11,0,0
2020-06-06,2,31,0,11,0,0
2020-06-07,1,32,0,11,0,0
2020-06-08,1,33,0,11,0,0
2020-06-10,1,34,0,11,0,0
2020-06-11,0,34,7,18,0,0
2020-06-13,5,39,0,18,0,0
2020-06-14,16,55,0,18,0,0
2020-06-17,0,55,2,20,0,0
2020-06-18,4,59,2,22,0,0
2020-06-19,0,59,0,22,1,1
2020-06-23,1,60,0,22,0,1
2020-06-24,0,60,0,22,1,2
2020-06-25,1,61,14,36,0,2
2020-06-26,1,62,0,36,0,2
2020-06-27,0,62,2,38,0,2
2020-06-28,0,62,1,39,0,2
2020-06-30,1,63,0,39,0,2
2020-07-01,0,63,12,51,0,2
2020-07-02,0,63,1,52,1,3
2020-07-03,30,93,2,54,0,3
2020-07-04,0,93,0,54,3,6
2020-07-05,96,189,0,54,0,6
2020-07-06,36,225,0,54,2,8
2020-07-07,104,329,0,54,0,8
2020-07-08,31,360,0,54,0,8
2020-07-09,206,566,0,54,0,8
2020-07-10,80,646,116,170,1,9
