dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,0,0,1,1,0,0
2020-03-22,1,1,0,1,0,0
2020-03-23,1,2,0,1,0,0
2020-03-27,1,3,0,1,0,0
2020-03-29,2,5,0,1,0,0
2020-03-31,4,9,0,1,0,0
2020-04-01,1,10,0,1,0,0
2020-04-03,4,14,0,1,0,0
2020-04-06,5,19,0,1,0,0
2020-04-14,0,19,2,3,0,0
2020-04-15,0,19,4,7,0,0
2020-04-19,1,20,0,7,0,0
2020-04-22,0,20,1,8,0,0
2020-04-23,1,21,0,8,0,0
2020-04-29,1,22,0,8,0,0
2020-04-30,0,22,1,9,0,0
2020-05-01,2,24,0,9,0,0
2020-05-02,4,28,0,9,0,0
2020-05-04,6,34,0,9,0,0
2020-05-05,2,36,1,10,0,0
2020-05-06,2,38,0,10,0,0
2020-05-07,7,45,1,11,0,0
2020-05-08,11,56,1,12,1,1
2020-05-09,5,61,0,12,0,1
2020-05-10,1,62,2,14,0,1
2020-05-11,3,65,0,14,0,1
2020-05-15,2,67,0,14,0,1
2020-05-16,4,71,1,15,0,1
2020-05-17,3,74,7,22,0,1
2020-05-18,1,75,4,26,0,1
2020-05-20,5,80,10,36,0,1
2020-05-27,12,92,15,51,0,1
2020-05-28,6,98,0,51,0,1
2020-05-29,0,98,4,55,0,1
2020-05-30,0,98,2,57,0,1
2020-05-31,2,100,2,59,0,1
2020-06-01,4,104,0,59,0,1
2020-06-02,0,104,3,62,0,1
2020-06-03,2,106,0,62,0,1
2020-06-04,3,109,0,62,0,1
2020-06-05,1,110,0,62,0,1
2020-06-06,0,110,2,64,0,1
2020-06-07,17,127,0,64,0,1
2020-06-08,15,142,8,72,0,1
2020-06-10,24,166,7,79,0,1
2020-06-11,15,181,0,79,0,1
2020-06-12,10,191,11,90,0,1
2020-06-13,9,200,5,95,0,1
2020-06-14,15,215,5,100,0,1
2020-06-15,4,219,0,100,0,1
2020-06-16,3,222,0,100,0,1
2020-06-17,6,228,5,105,0,1
2020-06-18,4,232,15,120,0,1
2020-06-19,13,245,6,126,0,1
2020-06-20,15,260,14,140,0,1
2020-06-21,39,299,22,162,0,1
2020-06-22,5,304,5,167,1,2
2020-06-23,21,325,0,167,0,2
2020-06-24,41,366,8,175,0,2
2020-06-25,40,406,0,175,0,2
2020-06-26,20,426,37,212,1,3
2020-06-27,34,460,4,216,0,3
2020-06-28,44,504,4,220,0,3
2020-06-29,11,515,19,239,0,3
2020-06-30,26,541,4,243,0,3
2020-07-01,21,562,57,300,0,3
2020-07-02,7,569,2,302,0,3
2020-07-03,54,623,3,305,0,3
2020-07-04,9,632,43,348,2,5
2020-07-05,88,720,19,367,1,6
2020-07-06,101,821,38,405,1,7
2020-07-07,123,944,4,409,2,9
2020-07-08,38,982,63,472,1,10
2020-07-09,208,1190,64,536,0,10
2020-07-10,86,1276,90,626,1,11
