dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-28,1,1,0,0,0,0
2020-05-30,1,2,0,0,0,0
2020-06-01,14,16,0,0,0,0
2020-06-03,9,25,0,0,0,0
2020-06-04,3,28,0,0,0,0
2020-06-05,3,31,0,0,0,0
2020-06-06,1,32,0,0,0,0
2020-06-07,3,35,0,0,0,0
2020-06-08,3,38,0,0,0,0
2020-06-10,3,41,0,0,0,0
2020-06-11,2,43,0,0,0,0
2020-06-12,12,55,0,0,0,0
2020-06-13,4,59,0,0,0,0
2020-06-15,-2,57,0,0,0,0
2020-06-16,3,60,0,0,0,0
2020-06-17,0,60,2,2,0,0
2020-06-19,10,70,0,2,0,0
2020-06-22,6,76,0,2,0,0
2020-06-23,0,76,14,16,0,0
2020-06-25,1,77,2,18,0,0
2020-06-26,0,77,3,21,0,0
2020-06-27,0,77,4,25,0,0
2020-06-28,1,78,1,26,0,0
2020-06-29,3,81,1,27,0,0
2020-07-01,0,81,3,30,0,0
2020-07-02,2,83,4,34,0,0
2020-07-03,6,89,3,37,0,0
2020-07-05,2,91,0,37,0,0
2020-07-06,0,91,14,51,0,0
2020-07-07,0,91,10,61,0,0
2020-07-08,1,92,0,61,0,0
2020-07-09,7,99,3,64,0,0
