dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-24,1,1,0,0,0,0
2020-06-01,2,3,0,0,0,0
2020-06-02,2,5,0,0,0,0
2020-06-10,0,5,2,2,0,0
2020-06-14,3,8,0,2,0,0
2020-06-15,2,10,0,2,0,0
2020-06-16,1,11,0,2,0,0
2020-06-17,0,11,1,3,0,0
2020-06-19,13,24,3,6,0,0
2020-06-21,4,28,2,8,0,0
2020-06-23,9,37,0,8,0,0
2020-06-24,1,38,0,8,0,0
2020-06-25,4,42,0,8,0,0
2020-06-26,1,43,0,8,0,0
2020-06-28,3,46,0,8,0,0
2020-06-29,2,48,0,8,0,0
2020-07-01,1,49,0,8,0,0
2020-07-02,34,83,0,8,0,0
2020-07-03,6,89,0,8,0,0
2020-07-04,1,90,0,8,0,0
2020-07-05,3,93,2,10,0,0
2020-07-06,1,94,0,10,0,0
2020-07-07,5,99,0,10,0,0
2020-07-08,5,104,1,11,0,0
2020-07-09,1,105,6,17,0,0
