dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-07,1,1,0,0,0,0
2020-04-09,1,2,0,0,0,0
2020-04-13,1,3,0,0,0,0
2020-04-14,1,4,0,0,0,0
2020-04-26,0,4,3,3,0,0
2020-04-29,0,4,1,4,0,0
2020-05-06,0,4,1,5,0,0
2020-05-21,2,6,0,5,0,0
2020-05-23,1,7,0,5,0,0
2020-05-26,1,8,0,5,0,0
2020-05-28,1,9,0,5,0,0
2020-05-29,14,23,0,5,0,0
2020-05-30,5,28,0,5,0,0
2020-05-31,5,33,0,5,0,0
2020-06-01,3,36,0,5,0,0
2020-06-03,125,161,0,5,0,0
2020-06-04,39,200,0,5,0,0
2020-06-05,37,237,0,5,0,0
2020-06-06,44,281,0,5,0,0
2020-06-07,24,305,0,5,0,0
2020-06-14,15,320,0,5,0,0
2020-06-15,2,322,0,5,0,0
2020-06-18,7,329,0,5,0,0
2020-06-25,4,333,0,5,0,0
