dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-26,0,1,4,4,0,0
2020-05-01,0,1,1,5,0,0
2020-05-18,4,5,0,5,0,0
2020-05-19,2,7,0,5,0,0
2020-05-23,1,8,0,5,0,0
2020-05-25,59,67,0,5,0,0
2020-05-26,54,121,0,5,0,0
2020-05-27,14,135,0,5,0,0
2020-05-29,27,162,0,5,0,0
2020-05-30,7,169,0,5,0,0
2020-05-31,2,171,0,5,0,0
2020-06-02,10,181,12,17,0,0
2020-06-03,18,199,5,22,0,0
2020-06-04,2,201,3,25,0,0
2020-06-05,0,201,6,31,0,0
2020-06-06,4,205,7,38,0,0
2020-06-07,7,212,0,38,0,0
2020-06-08,0,212,45,83,0,0
2020-06-09,5,217,0,83,0,0
2020-06-11,6,223,0,83,0,0
2020-06-13,1,224,0,83,0,0
2020-06-14,10,234,1,84,0,0
2020-06-17,22,256,0,84,0,0
2020-06-18,6,262,0,84,0,0
2020-06-21,2,264,0,84,0,0
