dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-01,8,8,0,0,0,0
2020-05-09,3,11,0,0,0,0
2020-05-17,1,12,0,0,0,0
2020-05-18,2,14,0,0,0,0
2020-05-19,1,15,0,0,0,0
2020-05-20,0,15,2,2,0,0
2020-05-23,1,16,0,2,0,0
2020-05-24,2,18,0,2,0,0
2020-05-25,1,19,2,4,0,0
2020-05-27,1,20,0,4,0,0
2020-05-29,0,20,2,6,0,0
2020-05-30,9,29,3,9,0,0
2020-05-31,0,29,2,11,0,0
2020-06-01,1,30,7,18,0,0
2020-06-02,1,31,0,18,0,0
2020-06-03,2,33,3,21,0,0
2020-06-04,2,35,0,21,0,0
2020-06-05,0,35,5,26,0,0
2020-06-06,0,35,0,26,0,0
2020-06-07,0,35,2,28,0,0
2020-06-08,0,35,26,54,0,0
2020-06-09,17,52,0,54,0,0
2020-06-10,2,54,0,54,0,0
2020-06-13,5,59,0,54,0,0
2020-06-14,12,71,0,54,0,0
2020-06-15,31,102,0,54,0,0
2020-06-17,27,129,0,54,0,0
2020-06-21,18,147,0,54,0,0
2020-06-30,6,153,0,54,0,0
