dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-16,1,1,0,0,0,0
2020-05-20,2,3,0,0,0,0
2020-05-21,5,8,0,0,0,0
2020-05-22,6,14,0,0,0,0
2020-05-31,5,19,0,0,0,0
2020-06-01,1,20,13,13,0,0
2020-06-03,3,23,0,13,0,0
2020-06-05,5,28,13,26,0,0
2020-06-06,6,34,0,26,0,0
2020-06-08,6,40,9,35,0,0
2020-06-09,1,41,0,35,0,0
2020-06-11,3,44,0,35,0,0
2020-06-16,2,46,0,35,0,0
2020-06-17,3,49,0,35,0,0
2020-06-18,35,84,0,35,0,0
2020-06-25,20,104,0,35,0,0
2020-06-30,18,122,0,35,1,1
