dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-21,1,1,0,0,0,0
2020-05-22,1,2,0,0,0,0
2020-05-26,1,3,0,0,0,0
2020-05-29,9,12,0,0,0,0
2020-05-31,7,19,0,0,0,0
2020-06-01,5,24,0,0,0,0
2020-06-03,2,26,0,0,0,0
2020-06-04,36,62,0,0,0,0
2020-06-05,3,65,0,0,0,0
2020-06-07,0,65,2,2,0,0
2020-06-09,20,85,0,2,0,0
2020-06-14,4,89,0,2,0,0
2020-06-16,3,92,0,2,0,0
2020-06-17,2,94,0,2,0,0
2020-06-18,6,100,0,2,0,0
2020-06-21,5,105,0,2,0,0
2020-07-08,0,105,0,2,1,1
2020-07-10,122,227,182,184,0,1
