dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-22,1,1,0,0,0,0
2020-04-24,1,2,0,0,0,0
2020-04-28,1,3,0,0,0,0
2020-05-08,1,4,0,0,0,0
2020-05-10,2,6,0,0,0,0
2020-05-12,1,7,0,0,0,0
2020-05-13,4,11,0,0,0,0
2020-05-14,4,15,0,0,0,0
2020-05-15,0,15,0,0,0,0
2020-05-16,17,32,0,0,0,0
2020-05-17,8,40,0,0,0,0
2020-05-18,0,40,1,1,0,0
2020-05-20,11,51,0,1,0,0
2020-05-21,1,52,0,1,0,0
2020-05-22,12,64,0,1,0,0
2020-05-23,6,70,0,1,0,0
2020-05-24,20,90,0,1,0,0
2020-05-25,0,90,1,2,0,0
2020-05-26,15,105,3,5,0,0
2020-05-27,0,105,2,7,0,0
2020-05-29,6,111,16,23,0,0
2020-05-30,1,112,26,49,0,0
2020-06-01,6,118,10,59,0,0
2020-06-02,5,123,0,59,0,0
2020-06-03,0,123,7,66,0,0
2020-06-04,4,127,1,67,0,0
2020-06-05,1,128,0,67,0,0
2020-06-06,2,130,13,80,0,0
2020-06-07,2,132,0,80,0,0
2020-06-08,5,137,0,80,0,0
2020-06-09,11,148,0,80,0,0
2020-06-10,2,150,15,95,0,0
2020-06-12,2,152,0,95,0,0
2020-06-13,16,168,0,95,0,0
2020-06-14,4,172,0,95,0,0
2020-06-15,3,175,0,95,0,0
2020-06-16,1,176,33,128,0,0
2020-06-17,1,177,2,130,0,0
2020-06-19,7,184,0,130,0,0
2020-06-20,18,202,0,130,0,0
2020-06-21,9,211,38,168,0,0
2020-06-22,1,212,0,168,0,0
2020-06-23,9,221,0,168,0,0
2020-06-24,1,222,0,168,0,0
2020-06-25,1,223,4,172,0,0
2020-06-27,4,227,25,197,0,0
2020-06-28,0,227,1,198,0,0
2020-06-29,2,229,0,198,0,0
2020-06-30,4,233,0,198,0,0
2020-07-01,5,238,14,212,0,0
2020-07-02,0,238,3,215,0,0
2020-07-03,0,238,12,227,0,0
2020-07-04,2,240,0,227,0,0
2020-07-05,3,243,0,227,0,0
2020-07-06,3,246,0,227,0,0
2020-07-07,11,257,0,227,0,0
2020-07-08,5,262,3,230,0,0
2020-07-09,20,282,5,235,0,0
2020-07-10,6,288,0,235,0,0
