dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,1,1,0,0,0,0
2020-04-29,4,5,0,0,0,0
2020-05-08,4,9,0,0,0,0
2020-05-10,2,11,0,0,0,0
2020-05-11,3,14,0,0,0,0
2020-05-12,2,16,0,0,0,0
2020-05-13,0,16,3,3,0,0
2020-05-15,0,16,2,5,0,0
2020-05-20,6,22,0,5,0,0
2020-05-22,9,31,2,7,0,0
2020-05-23,9,40,0,7,0,0
2020-05-25,13,53,0,7,0,0
2020-05-26,12,65,1,8,0,0
2020-05-27,4,69,7,15,0,0
2020-05-30,18,87,0,15,0,0
2020-05-31,1,88,0,15,0,0
2020-06-01,16,104,0,15,0,0
2020-06-02,0,104,9,24,0,0
2020-06-03,11,115,19,43,0,0
2020-06-04,2,117,3,46,0,0
2020-06-05,8,125,8,54,0,0
2020-06-06,5,130,0,54,0,0
2020-06-08,0,130,0,54,1,1
2020-06-09,5,135,7,61,0,1
2020-06-10,0,135,14,75,1,2
2020-06-11,6,141,0,75,0,2
2020-06-12,1,142,1,76,0,2
2020-06-13,6,148,29,105,0,2
2020-06-14,1,149,0,105,0,2
2020-06-15,15,164,0,105,0,2
2020-06-16,4,168,0,105,0,2
2020-06-17,1,169,22,127,0,2
2020-06-18,22,191,1,128,1,3
2020-06-19,14,205,10,138,2,5
2020-06-20,11,216,2,140,0,5
2020-06-21,33,249,7,147,0,5
2020-06-22,17,266,2,149,0,5
2020-06-23,1,267,10,159,0,5
2020-06-24,5,272,0,159,0,5
2020-06-25,9,281,12,171,0,5
2020-06-26,1,282,15,186,0,5
2020-06-27,4,286,1,187,0,5
2020-06-28,0,286,25,212,0,5
2020-06-29,19,305,0,212,0,5
2020-06-30,1,306,45,257,0,5
2020-07-01,5,311,1,258,0,5
2020-07-02,5,316,4,262,0,5
2020-07-03,21,337,2,264,0,5
2020-07-04,14,351,0,264,0,5
2020-07-05,5,356,0,264,0,5
2020-07-06,27,383,6,270,2,7
2020-07-07,1,384,5,275,0,7
2020-07-08,8,392,17,292,0,7
2020-07-09,4,396,3,295,0,7
2020-07-10,5,401,3,298,0,7
