dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-31,1,1,0,0,0,0
2020-04-01,1,2,0,0,0,0
2020-04-02,2,4,0,0,0,0
2020-04-03,1,5,0,0,0,0
2020-04-12,0,5,3,3,0,0
2020-04-25,1,6,0,3,0,0
2020-05-07,0,6,1,4,0,0
2020-05-10,2,8,0,4,0,0
2020-05-19,3,11,0,4,0,0
2020-05-21,7,18,0,4,0,0
2020-05-22,6,24,0,4,0,0
2020-05-23,10,34,0,4,0,0
2020-05-24,3,37,0,4,0,0
2020-05-25,4,41,2,6,0,0
2020-05-26,5,46,-2,4,0,0
2020-05-27,0,46,2,6,0,0
2020-05-29,3,49,3,9,0,0
2020-05-30,5,54,1,10,0,0
2020-05-31,6,60,0,10,0,0
2020-06-01,2,62,5,15,0,0
2020-06-02,5,67,0,15,0,0
2020-06-03,5,72,1,16,0,0
2020-06-04,4,76,8,24,0,0
2020-06-05,10,86,7,31,0,0
2020-06-06,4,90,0,31,0,0
2020-06-07,8,98,0,31,0,0
2020-06-08,6,104,0,31,0,0
2020-06-09,-3,101,1,32,0,0
2020-06-10,5,106,4,36,0,0
2020-06-11,4,110,7,43,0,0
2020-06-12,1,111,6,49,0,0
2020-06-13,4,115,18,67,0,0
2020-06-14,1,116,0,67,0,0
2020-06-15,6,122,5,72,0,0
2020-06-16,4,126,33,105,0,0
2020-06-17,14,140,2,107,0,0
2020-06-18,3,143,4,111,1,1
2020-06-19,0,143,1,112,0,1
2020-06-20,10,153,5,117,0,1
2020-06-21,0,153,4,121,1,2
2020-06-23,0,153,7,128,0,2
2020-06-24,12,165,6,134,0,2
2020-06-26,9,174,0,134,0,2
2020-06-27,0,174,1,135,0,2
2020-06-28,6,180,0,135,0,2
2020-06-29,3,183,24,159,0,2
2020-06-30,8,191,0,159,1,3
2020-07-01,5,196,1,160,0,3
2020-07-02,9,205,1,161,0,3
2020-07-03,8,213,1,162,0,3
2020-07-04,34,247,6,168,0,3
2020-07-05,9,256,5,173,0,3
2020-07-06,1,257,9,182,0,3
2020-07-07,30,287,7,189,0,3
2020-07-08,15,302,4,193,0,3
2020-07-09,10,312,0,193,0,3
2020-07-10,1,313,25,218,0,3
