dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-26,1,1,0,0,0,0
2020-04-28,3,4,0,0,0,0
2020-05-07,1,5,0,0,0,0
2020-05-09,0,5,1,1,0,0
2020-05-11,0,5,3,4,0,0
2020-05-12,16,21,0,4,0,0
2020-05-13,0,21,1,5,0,0
2020-05-14,5,26,0,5,0,0
2020-05-16,1,27,0,5,0,0
2020-05-19,31,58,0,5,0,0
2020-05-21,50,108,0,5,0,0
2020-05-22,-2,106,0,5,0,0
2020-05-23,0,106,2,7,0,0
2020-05-24,2,108,0,7,0,0
2020-05-25,0,108,-2,5,0,0
2020-05-26,4,112,2,7,0,0
2020-05-27,0,112,0,7,1,1
2020-05-29,19,131,3,10,0,1
2020-05-30,13,144,14,24,0,1
2020-05-31,13,157,27,51,0,1
2020-06-01,4,161,32,83,0,1
2020-06-02,2,163,0,83,0,1
2020-06-03,3,166,8,91,0,1
2020-06-04,7,173,0,91,0,1
2020-06-05,3,176,0,91,0,1
2020-06-06,1,177,15,106,0,1
2020-06-07,1,178,16,122,0,1
2020-06-08,0,178,1,123,0,1
2020-06-09,2,180,0,123,0,1
2020-06-10,0,180,4,127,0,1
2020-06-11,2,182,17,144,0,1
2020-06-12,5,187,0,144,1,2
2020-06-13,1,188,6,150,0,2
2020-06-14,-1,187,11,161,0,2
2020-06-15,4,191,0,161,0,2
2020-06-16,2,193,10,171,0,2
2020-06-17,8,201,3,174,0,2
2020-06-18,3,204,8,182,0,2
2020-06-19,7,211,0,182,0,2
2020-06-20,6,217,0,182,0,2
2020-06-21,3,220,3,185,0,2
2020-06-22,1,221,0,185,0,2
2020-06-23,1,222,3,188,0,2
2020-06-24,0,222,2,190,0,2
2020-06-25,2,224,0,190,0,2
2020-06-26,1,225,11,201,0,2
2020-06-27,8,233,0,201,0,2
2020-06-28,13,246,12,213,0,2
2020-06-29,3,249,4,217,1,3
2020-06-30,3,252,1,218,0,3
2020-07-03,5,257,1,219,0,3
2020-07-04,0,257,7,226,0,3
2020-07-05,16,273,11,237,0,3
2020-07-06,6,279,8,245,0,3
2020-07-07,8,287,0,245,0,3
2020-07-08,18,305,0,245,0,3
2020-07-09,0,305,1,246,0,3
2020-07-10,1,306,0,246,0,3
