dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,8,8,0,0,0,0
2020-04-25,6,14,0,0,0,0
2020-04-28,4,18,0,0,0,0
2020-05-01,6,24,0,0,0,0
2020-05-02,3,27,0,0,0,0
2020-05-03,1,28,0,0,0,0
2020-05-04,2,30,0,0,0,0
2020-05-05,1,31,0,0,0,0
2020-05-06,1,32,0,0,0,0
2020-05-07,0,32,16,16,0,0
2020-05-09,0,32,9,25,0,0
2020-05-10,0,32,-1,24,0,0
2020-05-13,1,33,3,27,0,0
2020-05-15,0,33,5,32,0,0
2020-05-16,1,34,0,32,0,0
2020-05-17,2,36,0,32,0,0
2020-05-18,1,37,0,32,0,0
2020-05-19,7,44,0,32,0,0
2020-05-22,2,46,0,32,0,0
2020-05-24,3,49,0,32,0,0
2020-05-27,4,53,3,35,0,0
2020-05-29,10,63,0,35,0,0
2020-05-30,10,73,0,35,0,0
2020-05-31,3,76,0,35,0,0
2020-06-01,-2,74,0,35,0,0
2020-06-02,5,79,0,35,0,0
2020-06-03,10,89,4,39,0,0
2020-06-04,1,90,12,51,0,0
2020-06-06,6,96,0,51,0,0
2020-06-07,2,98,0,51,0,0
2020-06-08,0,98,5,56,0,0
2020-06-09,11,109,4,60,0,0
2020-06-10,4,113,0,60,0,0
2020-06-11,10,123,0,60,0,0
2020-06-12,7,130,0,60,0,0
2020-06-13,4,134,14,74,0,0
2020-06-14,0,134,3,77,0,0
2020-06-15,1,135,6,83,0,0
2020-06-16,1,136,0,83,0,0
2020-06-17,0,136,2,85,0,0
2020-06-18,2,138,1,86,0,0
2020-06-19,6,144,0,86,0,0
2020-06-22,1,145,0,86,0,0
2020-06-25,0,145,53,139,0,0
2020-06-26,0,145,1,140,0,0
2020-06-27,13,158,0,140,0,0
2020-06-28,6,164,1,141,0,0
2020-06-29,3,167,0,141,0,0
2020-06-30,10,177,6,147,0,0
2020-07-01,5,182,0,147,0,0
2020-07-02,12,194,0,147,0,0
2020-07-03,7,201,0,147,1,1
2020-07-04,3,204,0,147,0,1
2020-07-05,0,204,31,178,0,1
2020-07-07,1,205,0,178,1,2
2020-07-08,6,211,1,179,0,2
2020-07-09,3,214,0,179,0,2
2020-07-10,1,215,19,198,0,2
