dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-08,4,4,0,0,0,0
2020-05-09,1,5,0,0,0,0
2020-05-10,6,11,0,0,0,0
2020-05-12,16,27,0,0,0,0
2020-05-13,3,30,0,0,0,0
2020-05-14,6,36,0,0,0,0
2020-05-15,5,41,0,0,0,0
2020-05-16,2,43,0,0,1,1
2020-05-17,11,54,0,0,0,1
2020-05-18,1,55,0,0,0,1
2020-05-20,15,70,0,0,0,1
2020-05-21,21,91,8,8,0,1
2020-05-22,14,105,0,8,1,2
2020-05-23,12,117,8,16,0,2
2020-05-24,2,119,0,16,0,2
2020-05-25,3,122,2,18,0,2
2020-05-26,23,145,-1,17,0,2
2020-05-27,-2,143,0,17,0,2
2020-05-28,0,143,7,24,0,2
2020-05-29,5,148,31,55,0,2
2020-05-30,1,149,16,71,1,3
2020-05-31,3,152,0,71,0,3
2020-06-01,12,164,1,72,0,3
2020-06-02,3,167,17,89,0,3
2020-06-03,85,252,1,90,0,3
2020-06-04,12,264,0,90,0,3
2020-06-05,4,268,1,91,0,3
2020-06-06,1,269,0,91,0,3
2020-06-07,5,274,0,91,0,3
2020-06-08,0,274,19,110,0,3
2020-06-09,0,274,1,111,0,3
2020-06-10,1,275,6,117,0,3
2020-06-11,7,282,7,124,0,3
2020-06-12,1,283,1,125,0,3
2020-06-13,3,286,41,166,0,3
2020-06-14,0,286,65,231,0,3
2020-06-15,2,288,13,244,0,3
2020-06-16,3,291,21,265,0,3
2020-06-17,0,291,1,266,0,3
2020-06-18,0,291,5,271,0,3
2020-06-22,0,291,1,272,0,3
2020-06-24,0,291,11,283,0,3
2020-06-25,1,292,6,289,0,3
2020-06-26,0,292,3,292,0,3
2020-06-27,1,293,0,292,0,3
2020-06-29,1,294,1,293,0,3
2020-06-30,5,299,0,293,0,3
2020-07-01,1,300,0,293,0,3
2020-07-04,16,316,0,293,0,3
2020-07-05,6,322,0,293,0,3
2020-07-06,9,331,0,293,0,3
2020-07-07,2,333,0,293,0,3
2020-07-08,14,347,0,293,0,3
2020-07-09,37,384,7,300,0,3
2020-07-10,10,394,1,301,0,3
