dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,1,1,0,0,0,0
2020-04-12,0,1,1,1,0,0
2020-04-27,3,4,0,1,0,0
2020-05-07,0,4,1,2,0,0
2020-05-10,0,4,3,5,0,0
2020-05-12,1,5,-1,4,0,0
2020-05-13,1,6,1,5,0,0
2020-05-14,6,12,0,5,0,0
2020-05-15,1,13,0,5,0,0
2020-05-16,1,14,0,5,0,0
2020-05-21,9,23,0,5,0,0
2020-05-22,1,24,0,5,0,0
2020-05-23,2,26,0,5,0,0
2020-05-24,1,27,0,5,0,0
2020-05-25,1,28,2,7,0,0
2020-05-26,4,32,-2,5,0,0
2020-05-27,0,32,2,7,0,0
2020-05-29,5,37,0,7,0,0
2020-05-31,0,37,8,15,0,0
2020-06-01,1,38,0,15,0,0
2020-06-02,19,57,0,15,0,0
2020-06-03,5,62,3,18,0,0
2020-06-04,1,63,2,20,0,0
2020-06-05,4,67,0,20,0,0
2020-06-07,0,67,1,21,0,0
2020-06-08,0,67,9,30,0,0
2020-06-09,-1,66,0,30,0,0
2020-06-10,0,66,1,31,0,0
2020-06-11,2,68,4,35,0,0
2020-06-12,2,70,5,40,0,0
2020-06-13,1,71,0,40,0,0
2020-06-14,1,72,0,40,0,0
2020-06-15,0,72,3,43,0,0
2020-06-16,1,73,0,43,0,0
2020-06-17,11,84,0,43,0,0
2020-06-20,1,85,24,67,0,0
2020-06-22,2,87,0,67,0,0
2020-06-23,4,91,0,67,0,0
2020-06-24,6,97,0,67,0,0
2020-06-25,11,108,3,70,0,0
2020-06-26,2,110,0,70,0,0
2020-06-27,15,125,13,83,0,0
2020-06-28,2,127,0,83,0,0
2020-07-01,3,130,8,91,0,0
2020-07-02,0,130,31,122,0,0
2020-07-03,5,135,2,124,0,0
2020-07-04,1,136,3,127,0,0
2020-07-05,6,142,0,127,0,0
2020-07-07,5,147,0,127,0,0
2020-07-08,10,157,2,129,0,0
2020-07-09,8,165,3,132,0,0
2020-07-10,4,169,0,132,0,0
