dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,5,5,0,0,0,0
2020-05-01,13,18,0,0,0,0
2020-05-04,5,23,0,0,0,0
2020-05-06,1,24,0,0,0,0
2020-05-11,2,26,0,0,0,0
2020-05-12,4,30,0,0,0,0
2020-05-13,1,31,0,0,0,0
2020-05-14,0,31,5,5,0,0
2020-05-15,2,33,0,5,0,0
2020-05-16,20,53,0,5,0,0
2020-05-17,16,69,0,5,0,0
2020-05-18,4,73,8,13,0,0
2020-05-20,6,79,0,13,0,0
2020-05-21,2,81,0,13,0,0
2020-05-22,34,115,7,20,0,0
2020-05-23,18,133,0,20,0,0
2020-05-24,3,136,0,20,0,0
2020-05-25,10,146,0,20,0,0
2020-05-26,31,177,1,21,0,0
2020-05-27,-1,176,1,22,0,0
2020-05-28,0,176,1,23,0,0
2020-05-29,14,190,37,60,0,0
2020-05-31,0,190,1,61,0,0
2020-06-01,5,195,2,63,0,0
2020-06-02,6,201,0,63,0,0
2020-06-03,0,201,14,77,0,0
2020-06-04,0,201,1,78,0,0
2020-06-05,0,201,3,81,0,0
2020-06-06,16,217,0,81,0,0
2020-06-07,1,218,5,86,0,0
2020-06-08,19,237,0,86,0,0
2020-06-09,2,239,0,86,0,0
2020-06-10,20,259,22,108,0,0
2020-06-11,1,260,25,133,0,0
2020-06-12,10,270,0,133,0,0
2020-06-13,21,291,0,133,0,0
2020-06-14,1,292,0,133,0,0
2020-06-15,12,304,0,133,1,1
2020-06-16,13,317,27,160,0,1
2020-06-17,6,323,0,160,0,1
2020-06-18,2,325,0,160,0,1
2020-06-19,0,325,1,161,0,1
2020-06-20,16,341,0,161,0,1
2020-06-21,11,352,14,175,0,1
2020-06-22,27,379,0,175,0,1
2020-06-23,9,388,0,175,0,1
2020-06-24,6,394,0,175,0,1
2020-06-25,6,400,97,272,0,1
2020-06-26,22,422,0,272,1,2
2020-06-27,15,437,5,277,0,2
2020-06-28,5,442,0,277,0,2
2020-06-29,6,448,13,290,0,2
2020-06-30,8,456,8,298,0,2
2020-07-01,16,472,35,333,0,2
2020-07-02,15,487,15,348,0,2
2020-07-03,5,492,8,356,0,2
2020-07-04,5,497,12,368,0,2
2020-07-05,7,504,6,374,0,2
2020-07-06,7,511,22,396,0,2
2020-07-07,25,536,28,424,0,2
2020-07-08,17,553,7,431,0,2
2020-07-09,8,561,0,431,0,2
2020-07-10,15,576,0,431,0,2
