dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,1,1,0,0,0,0
2020-04-01,1,2,0,0,0,0
2020-04-13,1,3,1,1,0,0
2020-04-14,0,3,1,2,0,0
2020-04-15,3,6,0,2,0,0
2020-04-17,1,7,0,2,0,0
2020-04-19,4,11,0,2,0,0
2020-04-20,17,28,0,2,0,0
2020-04-22,3,31,0,2,0,0
2020-04-24,3,34,0,2,0,0
2020-04-26,0,34,3,5,0,0
2020-04-27,1,35,0,5,0,0
2020-04-30,0,35,6,11,0,0
2020-05-01,1,36,13,24,0,0
2020-05-02,0,36,4,28,0,0
2020-05-05,0,36,1,29,0,0
2020-05-08,1,37,5,34,0,0
2020-05-09,2,39,0,34,0,0
2020-05-10,11,50,0,34,0,0
2020-05-11,1,51,1,35,0,0
2020-05-12,12,63,0,35,0,0
2020-05-14,3,66,0,35,0,0
2020-05-15,0,66,1,36,0,0
2020-05-16,1,67,0,36,0,0
2020-05-17,1,68,0,36,0,0
2020-05-18,4,72,1,37,0,0
2020-05-20,6,78,10,47,0,0
2020-05-22,2,80,11,58,0,0
2020-05-23,3,83,3,61,0,0
2020-05-24,3,86,0,61,0,0
2020-05-25,1,87,1,62,0,0
2020-05-26,4,91,7,69,1,1
2020-05-27,0,91,1,70,0,1
2020-05-28,0,91,3,73,0,1
2020-05-29,2,93,-3,70,0,1
2020-05-30,3,96,6,76,0,1
2020-06-01,1,97,4,80,0,1
2020-06-02,1,98,0,80,0,1
2020-06-03,0,98,2,82,0,1
2020-06-04,3,101,1,83,0,1
2020-06-05,6,107,3,86,0,1
2020-06-07,4,111,0,86,0,1
2020-06-09,11,122,17,103,0,1
2020-06-10,4,126,7,110,0,1
2020-06-11,1,127,0,110,0,1
2020-06-12,3,130,3,113,0,1
2020-06-13,1,131,1,114,0,1
2020-06-14,4,135,10,124,0,1
2020-06-15,3,138,0,124,0,1
2020-06-16,3,141,0,124,0,1
2020-06-17,4,145,0,124,0,1
2020-06-18,0,145,3,127,1,2
2020-06-19,6,151,1,128,1,3
2020-06-20,1,152,0,128,0,3
2020-06-21,2,154,3,131,0,3
2020-06-22,10,164,7,138,0,3
2020-06-23,1,165,6,144,0,3
2020-06-24,16,181,3,147,0,3
2020-06-25,1,182,10,157,0,3
2020-06-26,3,185,2,159,0,3
2020-06-27,2,187,3,162,0,3
2020-06-28,16,203,1,163,0,3
2020-06-29,9,212,0,163,1,4
2020-06-30,10,222,0,163,0,4
2020-07-01,8,230,6,169,0,4
2020-07-02,41,271,0,169,0,4
2020-07-03,44,315,6,175,1,5
2020-07-04,19,334,9,184,0,5
2020-07-05,22,356,7,191,0,5
2020-07-06,15,371,25,216,0,5
2020-07-07,2,373,0,216,0,5
2020-07-08,3,376,9,225,0,5
2020-07-09,42,418,14,239,0,5
2020-07-10,13,431,3,242,0,5
