dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-08,1,1,0,0,0,0
2020-04-11,2,3,0,0,0,0
2020-04-12,0,3,1,1,0,0
2020-04-26,0,3,1,2,0,0
2020-04-27,1,4,0,2,0,0
2020-05-04,0,4,0,2,0,0
2020-05-05,0,4,1,3,0,0
2020-05-08,1,5,0,3,0,0
2020-05-10,2,7,0,3,0,0
2020-05-11,6,13,0,3,0,0
2020-05-12,2,15,0,3,0,0
2020-05-13,9,24,0,3,0,0
2020-05-15,1,25,1,4,0,0
2020-05-16,10,35,0,4,0,0
2020-05-18,2,37,0,4,0,0
2020-05-19,4,41,0,4,0,0
2020-05-22,9,50,0,4,0,0
2020-05-23,8,58,0,4,0,0
2020-05-24,12,70,0,4,0,0
2020-05-25,0,70,9,13,0,0
2020-05-26,0,70,6,19,0,0
2020-05-27,1,71,6,25,0,0
2020-05-29,3,74,10,35,0,0
2020-05-30,2,76,0,35,0,0
2020-05-31,1,77,0,35,0,0
2020-06-01,6,83,8,43,0,0
2020-06-03,4,87,1,44,0,0
2020-06-04,8,95,0,44,1,1
2020-06-05,8,103,5,49,0,1
2020-06-06,12,115,0,49,0,1
2020-06-07,14,129,0,49,0,1
2020-06-08,5,134,9,58,0,1
2020-06-09,22,156,13,71,0,1
2020-06-10,7,163,9,80,0,1
2020-06-11,5,168,6,86,0,1
2020-06-12,0,168,33,119,0,1
2020-06-13,2,170,0,119,0,1
2020-06-14,2,172,2,121,0,1
2020-06-15,2,174,17,138,0,1
2020-06-16,5,179,27,165,0,1
2020-06-17,1,180,0,165,0,1
2020-06-18,2,182,0,165,0,1
2020-06-19,8,190,9,174,1,2
2020-06-21,3,193,8,182,0,2
2020-06-23,14,207,1,183,0,2
2020-06-24,1,208,5,188,0,2
2020-06-25,11,219,4,192,0,2
2020-06-26,11,230,0,192,0,2
2020-06-27,13,243,4,196,0,2
2020-06-28,5,248,13,209,1,3
2020-06-29,28,276,4,213,0,3
2020-06-30,20,296,0,213,0,3
2020-07-01,6,302,0,213,0,3
2020-07-02,15,317,0,213,0,3
2020-07-03,6,323,10,223,0,3
2020-07-04,6,329,49,272,0,3
2020-07-05,21,350,4,276,0,3
2020-07-06,4,354,0,276,0,3
2020-07-07,7,361,11,287,0,3
2020-07-08,36,397,15,302,0,3
2020-07-09,7,404,6,308,0,3
2020-07-10,1,405,0,308,0,3
