dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-21,1,1,0,0,0,0
2020-04-23,6,7,0,0,0,0
2020-04-25,2,9,0,0,0,0
2020-04-26,6,15,0,0,0,0
2020-04-27,16,31,0,0,0,0
2020-04-29,3,34,0,0,0,0
2020-04-30,11,45,0,0,0,0
2020-05-01,7,52,0,0,0,0
2020-05-02,0,52,1,1,0,0
2020-05-05,0,52,16,17,0,0
2020-05-07,2,54,5,22,1,1
2020-05-08,0,54,12,34,0,1
2020-05-09,5,59,6,40,0,1
2020-05-10,0,59,1,41,0,1
2020-05-12,13,72,0,41,0,1
2020-05-13,3,75,0,41,0,1
2020-05-14,2,77,1,42,0,1
2020-05-15,0,77,0,42,0,1
2020-05-16,0,77,3,45,0,1
2020-05-17,14,91,0,45,0,1
2020-05-18,0,91,3,48,0,1
2020-05-20,0,91,11,59,0,1
2020-05-21,18,109,0,59,0,1
2020-05-22,14,123,0,59,0,1
2020-05-23,31,154,0,59,0,1
2020-05-24,11,165,0,59,0,1
2020-05-25,1,166,3,62,0,1
2020-05-26,35,201,-3,59,0,1
2020-05-27,0,201,6,65,0,1
2020-05-28,0,201,3,68,0,1
2020-05-29,1,202,0,68,0,1
2020-05-30,4,206,0,68,0,1
2020-05-31,0,206,53,121,0,1
2020-06-01,2,208,0,121,0,1
2020-06-02,0,208,1,122,0,1
2020-06-03,2,210,2,124,0,1
2020-06-04,7,217,30,154,0,1
2020-06-05,13,230,0,154,0,1
2020-06-06,0,230,14,168,0,1
2020-06-07,4,234,17,185,0,1
2020-06-08,11,245,1,186,0,1
2020-06-09,10,255,4,190,0,1
2020-06-10,3,258,6,196,0,1
2020-06-11,7,265,0,196,0,1
2020-06-12,13,278,0,196,0,1
2020-06-13,4,282,31,227,0,1
2020-06-15,1,283,18,245,0,1
2020-06-16,2,285,0,245,0,1
2020-06-17,5,290,1,246,0,1
2020-06-18,19,309,6,252,0,1
2020-06-19,0,309,15,267,0,1
2020-06-21,7,316,3,270,0,1
2020-06-25,6,322,27,297,0,1
2020-06-26,0,322,8,305,0,1
2020-06-27,3,325,0,305,1,2
2020-06-28,7,332,7,312,1,3
2020-06-29,2,334,0,312,0,3
2020-06-30,8,342,5,317,1,4
2020-07-01,4,346,0,317,0,4
2020-07-02,13,359,0,317,1,5
2020-07-03,4,363,3,320,0,5
2020-07-04,7,370,4,324,0,5
2020-07-05,1,371,1,325,0,5
2020-07-06,6,377,6,331,0,5
2020-07-07,2,379,0,331,0,5
2020-07-08,7,386,5,336,0,5
2020-07-09,19,405,3,339,1,6
2020-07-10,7,412,0,339,0,6
