dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,1,1,0,0,0,0
2020-03-31,4,5,0,0,0,0
2020-04-03,1,6,0,0,0,0
2020-04-06,0,6,2,2,0,0
2020-04-07,4,10,2,4,0,0
2020-04-09,17,27,0,4,0,0
2020-04-10,2,29,0,4,0,0
2020-04-12,0,29,2,6,0,0
2020-04-23,1,30,0,6,0,0
2020-04-28,0,30,4,10,0,0
2020-04-30,0,30,3,13,0,0
2020-05-03,1,31,0,13,0,0
2020-05-05,1,32,0,13,0,0
2020-05-09,1,33,1,14,0,0
2020-05-10,0,33,3,17,0,0
2020-05-11,0,33,2,19,0,0
2020-05-12,1,34,1,20,0,0
2020-05-13,4,38,0,20,0,0
2020-05-15,5,43,0,20,0,0
2020-05-16,2,45,0,20,0,0
2020-05-22,8,53,0,20,0,0
2020-05-23,3,56,0,20,0,0
2020-05-24,3,59,0,20,0,0
2020-05-25,2,61,0,20,1,1
2020-05-26,5,66,9,29,0,1
2020-05-27,1,67,0,29,0,1
2020-05-30,8,75,0,29,1,2
2020-06-01,9,84,7,36,0,2
2020-06-02,11,95,0,36,0,2
2020-06-03,2,97,4,40,0,2
2020-06-05,6,103,0,40,0,2
2020-06-06,13,116,0,40,0,2
2020-06-07,8,124,0,40,0,2
2020-06-08,28,152,6,46,0,2
2020-06-09,4,156,1,47,1,3
2020-06-10,0,156,8,55,-1,2
2020-06-11,60,216,0,55,0,2
2020-06-12,4,220,-1,54,0,2
2020-06-13,5,225,2,56,0,2
2020-06-14,15,240,46,102,0,2
2020-06-15,16,256,0,102,0,2
2020-06-16,7,263,1,103,0,2
2020-06-17,11,274,0,103,0,2
2020-06-18,4,278,0,103,0,2
2020-06-19,19,297,0,103,0,2
2020-06-20,7,304,0,103,0,2
2020-06-21,10,314,31,134,0,2
2020-06-22,27,341,39,173,0,2
2020-06-23,5,346,32,205,0,2
2020-06-24,39,385,0,205,0,2
2020-06-25,9,394,6,211,0,2
2020-06-26,1,395,18,229,0,2
2020-06-27,2,397,35,264,0,2
2020-06-28,2,399,12,276,0,2
2020-06-29,6,405,60,336,0,2
2020-06-30,9,414,6,342,0,2
2020-07-01,19,433,20,362,0,2
2020-07-02,10,443,0,362,0,2
2020-07-03,24,467,17,379,0,2
2020-07-04,0,467,1,380,0,2
2020-07-05,10,477,0,380,0,2
2020-07-06,8,485,0,380,0,2
2020-07-07,19,504,12,392,0,2
2020-07-08,20,524,7,399,0,2
2020-07-09,18,542,5,404,3,5
