dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-04,1,1,0,0,0,0
2020-05-08,6,7,0,0,0,0
2020-05-10,1,8,0,0,0,0
2020-05-11,1,9,0,0,0,0
2020-05-12,2,11,0,0,0,0
2020-05-16,4,15,0,0,0,0
2020-05-18,0,15,1,1,0,0
2020-05-19,1,16,0,1,0,0
2020-05-21,25,41,2,3,0,0
2020-05-22,15,56,-1,2,0,0
2020-05-24,4,60,0,2,0,0
2020-05-25,1,61,1,3,0,0
2020-05-26,1,62,0,3,0,0
2020-05-27,0,62,22,25,0,0
2020-05-28,0,62,1,26,0,0
2020-05-29,7,69,5,31,0,0
2020-05-30,2,71,0,31,1,1
2020-05-31,0,71,9,40,0,1
2020-06-01,4,75,2,42,0,1
2020-06-02,6,81,0,42,0,1
2020-06-03,11,92,6,48,0,1
2020-06-04,2,94,3,51,0,1
2020-06-05,11,105,3,54,0,1
2020-06-06,10,115,0,54,0,1
2020-06-07,15,130,0,54,0,1
2020-06-08,3,133,9,63,0,1
2020-06-09,0,133,-1,62,0,1
2020-06-10,5,138,1,63,0,1
2020-06-11,3,141,4,67,0,1
2020-06-12,8,149,1,68,0,1
2020-06-13,0,149,1,69,0,1
2020-06-14,16,165,0,69,0,1
2020-06-15,1,166,13,82,0,1
2020-06-16,8,174,0,82,0,1
2020-06-17,6,180,5,87,0,1
2020-06-18,6,186,11,98,0,1
2020-06-19,10,196,0,98,0,1
2020-06-20,15,211,2,100,0,1
2020-06-21,18,229,0,100,0,1
2020-06-22,18,247,0,100,0,1
2020-06-23,32,279,22,122,1,2
2020-06-24,16,295,28,150,0,2
2020-06-25,6,301,16,166,0,2
2020-06-26,8,309,0,166,0,2
2020-06-27,3,312,8,174,0,2
2020-06-28,10,322,22,196,0,2
2020-06-29,19,341,32,228,0,2
2020-06-30,21,362,17,245,0,2
2020-07-01,3,365,10,255,1,3
2020-07-02,0,365,13,268,0,3
2020-07-03,1,366,9,277,0,3
2020-07-04,2,368,2,279,1,4
2020-07-05,5,373,16,295,0,4
2020-07-06,4,377,1,296,2,6
2020-07-07,8,385,19,315,0,6
2020-07-08,2,387,1,316,0,6
2020-07-09,19,406,24,340,1,7
2020-07-10,6,412,3,343,0,7
