dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-28,1,1,0,0,0,0
2020-05-09,1,2,0,0,0,0
2020-05-11,6,8,0,0,0,0
2020-05-12,2,10,0,0,0,0
2020-05-14,2,12,0,0,0,0
2020-05-16,9,21,0,0,0,0
2020-05-18,1,22,0,0,0,0
2020-05-19,2,24,0,0,0,0
2020-05-21,13,37,0,0,0,0
2020-05-22,4,41,0,0,0,0
2020-05-24,3,44,0,0,0,0
2020-05-25,1,45,1,1,0,0
2020-05-26,7,52,6,7,0,0
2020-05-27,0,52,3,10,0,0
2020-05-29,20,72,0,10,0,0
2020-05-30,16,88,0,10,0,0
2020-05-31,8,96,4,14,0,0
2020-06-01,2,98,0,14,0,0
2020-06-02,6,104,0,14,0,0
2020-06-03,3,107,5,19,0,0
2020-06-05,1,108,1,20,0,0
2020-06-06,0,108,5,25,0,0
2020-06-07,3,111,8,33,0,0
2020-06-08,4,115,0,33,0,0
2020-06-09,0,115,11,44,0,0
2020-06-10,2,117,7,51,0,0
2020-06-11,3,120,1,52,0,0
2020-06-12,0,120,3,55,0,0
2020-06-14,3,123,0,55,0,0
2020-06-15,5,128,12,67,0,0
2020-06-16,0,128,5,72,0,0
2020-06-17,0,128,6,78,0,0
2020-06-19,2,130,0,78,0,0
2020-06-20,0,130,7,85,0,0
2020-06-21,1,131,7,92,0,0
2020-06-22,1,132,0,92,0,0
2020-06-23,0,132,11,103,0,0
2020-06-24,1,133,0,103,0,0
2020-06-25,1,134,0,103,0,0
2020-06-26,3,137,11,114,0,0
2020-06-27,3,140,5,119,0,0
2020-06-28,6,146,2,121,0,0
2020-06-29,2,148,0,121,0,0
2020-06-30,5,153,5,126,0,0
2020-07-01,3,156,1,127,0,0
2020-07-02,4,160,1,128,0,0
2020-07-03,6,166,0,128,0,0
2020-07-04,1,167,3,131,0,0
2020-07-05,3,170,0,131,0,0
2020-07-06,0,170,3,134,0,0
2020-07-07,10,180,0,134,0,0
2020-07-08,8,188,3,137,0,0
2020-07-09,0,188,10,147,0,0
2020-07-10,0,188,5,152,0,0
