dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,1,1,0,0,0,0
2020-05-06,1,2,0,0,0,0
2020-05-07,1,3,0,0,0,0
2020-05-15,0,3,0,0,0,0
2020-05-16,1,4,0,0,0,0
2020-05-18,1,5,3,3,0,0
2020-05-22,1,6,-1,2,0,0
2020-05-25,0,6,1,3,0,0
2020-05-26,1,7,-1,2,0,0
2020-05-29,0,7,2,4,0,0
2020-05-30,2,9,4,8,0,0
2020-06-02,1,10,0,8,0,0
2020-06-03,4,14,0,8,0,0
2020-06-04,0,14,1,9,1,1
2020-06-05,7,21,0,9,0,1
2020-06-06,3,24,0,9,0,1
2020-06-10,4,28,-2,7,0,1
2020-06-13,25,53,0,7,0,1
2020-06-14,16,69,0,7,0,1
2020-06-15,1,70,1,8,0,1
2020-06-16,1,71,0,8,0,1
2020-06-17,1,72,0,8,0,1
2020-06-19,2,74,18,26,0,1
2020-06-20,0,74,25,51,0,1
2020-06-21,0,74,15,66,0,1
2020-06-23,4,78,3,69,0,1
2020-06-25,0,78,3,72,0,1
2020-06-26,0,78,1,73,0,1
2020-06-27,2,80,0,73,0,1
2020-06-28,1,81,4,77,0,1
2020-06-29,10,91,0,77,0,1
2020-07-01,1,92,0,77,0,1
2020-07-02,1,93,0,77,0,1
2020-07-03,3,96,1,78,0,1
2020-07-05,3,99,5,83,0,1
2020-07-06,2,101,0,83,0,1
2020-07-07,0,101,8,91,0,1
2020-07-08,2,103,0,91,0,1
2020-07-09,3,106,0,91,0,1
2020-07-10,2,108,0,91,0,1
