dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-28,1,1,0,0,0,0
2020-04-29,1,2,0,0,0,0
2020-04-30,4,6,0,0,0,0
2020-05-02,0,6,0,0,1,1
2020-05-03,0,6,1,1,0,1
2020-05-11,1,7,0,1,0,1
2020-05-13,0,7,1,2,0,1
2020-05-15,0,7,1,3,0,1
2020-05-17,1,8,0,3,0,1
2020-05-18,1,9,0,3,0,1
2020-05-20,0,9,1,4,0,1
2020-05-22,6,15,2,6,0,1
2020-05-23,13,28,0,6,0,1
2020-05-25,11,39,-2,4,0,1
2020-05-26,0,39,2,6,0,1
2020-05-27,11,50,0,6,0,1
2020-05-30,1,51,2,8,0,1
2020-05-31,3,54,0,8,0,1
2020-06-01,-5,49,0,8,0,1
2020-06-02,1,50,0,8,1,2
2020-06-03,14,64,12,20,0,2
2020-06-04,1,65,0,20,0,2
2020-06-05,0,65,13,33,0,2
2020-06-06,3,68,0,33,0,2
2020-06-07,10,78,0,33,0,2
2020-06-10,8,86,2,35,0,2
2020-06-11,1,87,0,35,0,2
2020-06-12,3,90,23,58,0,2
2020-06-13,5,95,5,63,0,2
2020-06-14,24,119,0,63,0,2
2020-06-15,1,120,0,63,0,2
2020-06-16,0,120,7,70,0,2
2020-06-17,0,120,29,99,0,2
2020-06-18,0,120,1,100,0,2
2020-06-19,1,121,0,100,0,2
2020-06-21,8,129,8,108,0,2
2020-06-23,0,129,6,114,0,2
2020-06-24,1,130,0,114,0,2
2020-06-25,0,130,2,116,0,2
2020-06-28,2,132,0,116,0,2
2020-06-29,1,133,9,125,0,2
2020-06-30,9,142,1,126,0,2
2020-07-01,2,144,0,126,1,3
2020-07-02,2,146,0,126,0,3
2020-07-03,3,149,0,126,0,3
2020-07-04,1,150,0,126,0,3
2020-07-05,3,153,0,126,0,3
2020-07-06,1,154,0,126,0,3
2020-07-07,13,167,2,128,0,3
2020-07-09,1,168,0,128,0,3
2020-07-10,0,168,15,143,0,3
