dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-15,1,1,0,0,0,0
2020-04-18,0,1,0,0,1,1
2020-04-25,1,2,0,0,0,1
2020-04-29,1,3,0,0,0,1
2020-05-03,0,3,1,1,0,1
2020-05-07,0,3,1,2,0,1
2020-05-09,1,4,0,2,0,1
2020-05-14,2,6,0,2,0,1
2020-05-15,2,8,0,2,0,1
2020-05-16,3,11,0,2,0,1
2020-05-18,4,15,0,2,1,2
2020-05-21,4,19,0,2,0,2
2020-05-22,6,25,0,2,0,2
2020-05-23,24,49,0,2,0,2
2020-05-25,9,58,2,4,0,2
2020-05-26,1,59,2,6,0,2
2020-05-27,1,60,5,11,0,2
2020-05-29,1,61,0,11,0,2
2020-05-30,1,62,0,11,0,2
2020-05-31,0,62,16,27,0,2
2020-06-01,3,65,1,28,0,2
2020-06-02,3,68,0,28,0,2
2020-06-03,1,69,0,28,0,2
2020-06-04,12,81,0,28,0,2
2020-06-05,0,81,10,38,0,2
2020-06-06,5,86,0,38,0,2
2020-06-07,2,88,11,49,0,2
2020-06-08,5,93,0,49,0,2
2020-06-09,3,96,0,49,0,2
2020-06-10,4,100,8,57,0,2
2020-06-11,0,100,3,60,0,2
2020-06-12,0,100,6,66,0,2
2020-06-13,0,100,11,77,0,2
2020-06-14,10,110,1,78,1,3
2020-06-15,2,112,5,83,0,3
2020-06-16,1,113,3,86,0,3
2020-06-17,1,114,0,86,0,3
2020-06-18,5,119,11,97,0,3
2020-06-19,3,122,0,97,0,3
2020-06-20,0,122,0,97,0,3
2020-06-21,1,123,3,100,0,3
2020-06-22,7,130,0,100,0,3
2020-06-23,5,135,2,102,0,3
2020-06-25,1,136,1,103,0,3
2020-06-26,0,136,9,112,0,3
2020-06-27,4,140,1,113,0,3
2020-06-28,13,153,2,115,0,3
2020-06-29,3,156,6,121,0,3
2020-06-30,28,184,0,121,0,3
2020-07-01,0,184,3,124,0,3
2020-07-02,23,207,3,127,0,3
2020-07-03,0,207,9,136,0,3
2020-07-04,5,212,4,140,0,3
2020-07-05,29,241,1,141,0,3
2020-07-06,0,241,15,156,0,3
2020-07-07,2,243,18,174,0,3
2020-07-08,3,246,1,175,0,3
2020-07-09,73,319,5,180,1,4
2020-07-10,0,319,19,199,0,4
