dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,1,1,0,0,0,0
2020-03-20,4,5,0,0,0,0
2020-03-22,1,6,0,0,0,0
2020-03-23,1,7,0,0,0,0
2020-03-27,1,8,0,0,0,0
2020-03-30,5,13,0,0,0,0
2020-03-31,2,15,0,0,0,0
2020-04-01,2,17,0,0,0,0
2020-04-02,1,18,0,0,0,0
2020-04-10,1,19,0,0,0,0
2020-04-12,2,21,0,0,0,0
2020-04-15,0,21,2,2,0,0
2020-04-18,2,23,0,2,0,0
2020-04-19,3,26,0,2,0,0
2020-04-21,1,27,0,2,0,0
2020-04-25,1,28,0,2,0,0
2020-04-26,8,36,2,4,0,0
2020-04-27,9,45,0,4,0,0
2020-04-28,11,56,0,4,0,0
2020-04-29,12,68,0,4,0,0
2020-04-30,6,74,1,5,0,0
2020-05-01,14,88,0,5,0,0
2020-05-02,6,94,1,6,0,0
2020-05-03,3,97,0,6,1,1
2020-05-04,5,102,2,8,0,1
2020-05-05,17,119,0,8,0,1
2020-05-06,5,124,0,8,0,1
2020-05-07,11,135,0,8,0,1
2020-05-08,11,146,0,8,1,2
2020-05-09,23,169,3,11,0,2
2020-05-10,4,173,0,11,1,3
2020-05-11,8,181,4,15,0,3
2020-05-12,6,187,2,17,0,3
2020-05-13,4,191,0,17,0,3
2020-05-14,0,191,7,24,0,3
2020-05-15,0,191,3,27,0,3
2020-05-16,0,191,11,38,0,3
2020-05-18,5,196,3,41,0,3
2020-05-19,3,199,3,44,0,3
2020-05-20,3,202,79,123,0,3
2020-05-21,16,218,42,165,0,3
2020-05-22,1,219,0,165,0,3
2020-05-23,6,225,1,166,0,3
2020-05-24,37,262,0,166,1,4
2020-05-25,4,266,8,174,0,4
2020-05-26,12,278,0,174,0,4
2020-05-27,1,279,0,174,0,4
2020-05-28,10,289,2,176,0,4
2020-05-30,0,289,10,186,0,4
2020-05-31,4,293,0,186,0,4
2020-06-01,4,297,15,201,0,4
2020-06-02,4,301,0,201,1,5
2020-06-04,1,302,8,209,0,5
2020-06-05,7,309,51,260,0,5
2020-06-06,3,312,0,260,0,5
2020-06-07,2,314,1,261,0,5
2020-06-08,6,320,11,272,0,5
2020-06-09,6,326,0,272,0,5
2020-06-10,2,328,4,276,0,5
2020-06-11,4,332,4,280,0,5
2020-06-12,13,345,2,282,0,5
2020-06-13,5,350,0,282,0,5
2020-06-14,2,352,0,282,0,5
2020-06-15,5,357,6,288,1,6
2020-06-16,8,365,1,289,0,6
2020-06-17,5,370,4,293,0,6
2020-06-18,4,374,0,293,0,6
2020-06-19,7,381,9,302,0,6
2020-06-20,23,404,1,303,0,6
2020-06-21,2,406,0,303,0,6
2020-06-22,5,411,6,309,0,6
2020-06-23,7,418,0,309,0,6
2020-06-24,2,420,0,309,0,6
2020-06-25,3,423,7,316,0,6
2020-06-26,2,425,6,322,0,6
2020-06-27,3,428,0,322,0,6
2020-06-28,3,431,1,323,0,6
2020-06-29,3,434,13,336,0,6
2020-06-30,6,440,15,351,0,6
2020-07-01,6,446,3,354,0,6
2020-07-02,4,450,22,376,0,6
2020-07-03,4,454,4,380,0,6
2020-07-04,5,459,2,382,0,6
2020-07-05,7,466,0,382,0,6
2020-07-06,21,487,6,388,0,6
2020-07-07,5,492,0,388,1,7
2020-07-08,15,507,1,389,0,7
2020-07-09,16,523,1,390,0,7
2020-07-10,13,536,5,395,0,7
