dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-22,1,1,0,0,0,0
2020-05-25,1,2,0,0,0,0
2020-05-26,13,15,0,0,0,0
2020-05-31,0,15,2,2,0,0
2020-06-01,5,20,0,2,0,0
2020-06-02,0,20,4,6,0,0
2020-06-04,0,20,2,8,0,0
2020-06-05,0,20,4,12,0,0
2020-06-06,0,20,1,13,0,0
2020-06-07,1,21,0,13,0,0
2020-06-08,3,24,1,14,0,0
2020-06-09,1,25,0,14,0,0
2020-06-10,1,26,0,14,0,0
2020-06-11,1,27,0,14,0,0
2020-06-12,0,27,5,19,0,0
2020-06-13,11,38,0,19,0,0
2020-06-14,-1,37,0,19,0,0
2020-06-16,0,37,1,20,0,0
2020-06-17,4,41,2,22,0,0
2020-06-18,0,41,3,25,0,0
2020-06-19,0,41,2,27,0,0
2020-06-21,2,43,1,28,0,0
2020-06-22,2,45,10,38,0,0
2020-06-25,1,46,3,41,0,0
2020-06-29,2,48,3,44,0,0
2020-06-30,1,49,0,44,0,0
2020-07-02,13,62,2,46,0,0
2020-07-03,0,62,2,48,0,0
2020-07-04,9,71,0,48,0,0
2020-07-06,3,74,0,48,0,0
2020-07-07,1,75,1,49,0,0
2020-07-08,6,81,4,53,0,0
2020-07-09,2,83,0,53,0,0
2020-07-10,1,84,7,60,0,0
