dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-26,0,0,1,1,0,0
2020-04-05,0,0,1,2,0,0
2020-05-21,7,7,0,2,0,0
2020-05-22,3,10,0,2,0,0
2020-05-23,8,18,0,2,0,0
2020-05-24,18,36,0,2,0,0
2020-05-25,3,39,0,2,0,0
2020-05-26,2,41,0,2,0,0
2020-05-27,1,42,0,2,0,0
2020-05-28,4,46,0,2,0,0
2020-05-29,2,48,2,4,0,0
2020-05-31,1,49,0,4,0,0
2020-06-01,11,60,3,7,0,0
2020-06-02,3,63,0,7,0,0
2020-06-03,2,65,4,11,0,0
2020-06-04,17,82,4,15,0,0
2020-06-05,15,97,3,18,0,0
2020-06-06,0,97,8,26,1,1
2020-06-07,1,98,0,26,0,1
2020-06-08,6,104,8,34,0,1
2020-06-10,1,105,0,34,0,1
2020-06-11,44,149,27,61,0,1
2020-06-13,8,157,0,61,0,1
2020-06-14,2,159,3,64,0,1
2020-06-15,7,166,19,83,0,1
2020-06-16,1,167,1,84,0,1
2020-06-17,0,167,45,129,0,1
2020-06-18,0,167,6,135,0,1
2020-06-19,2,169,7,142,0,1
2020-06-20,1,170,0,142,1,2
2020-06-21,0,170,13,155,0,2
2020-06-22,1,171,11,166,0,2
2020-06-24,0,171,5,171,0,2
2020-06-27,1,172,0,171,0,2
2020-06-28,9,181,0,171,0,2
2020-06-30,0,181,5,176,0,2
2020-07-01,3,184,0,176,0,2
2020-07-02,9,193,0,176,0,2
2020-07-03,6,199,0,176,0,2
2020-07-04,24,223,0,176,0,2
2020-07-05,5,228,1,177,0,2
2020-07-06,9,237,0,177,0,2
2020-07-07,9,246,11,188,0,2
2020-07-08,20,266,-1,187,0,2
2020-07-09,6,272,5,192,0,2
2020-07-10,13,285,10,202,0,2
