dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-26,0,0,1,1,0,0
2020-03-31,0,0,1,2,0,0
2020-05-03,8,8,0,2,0,0
2020-05-05,1,9,0,2,0,0
2020-05-09,0,9,1,3,0,0
2020-05-10,0,9,6,9,0,0
2020-05-16,0,9,1,10,0,0
2020-05-17,0,9,1,11,0,0
2020-05-22,2,11,0,11,0,0
2020-05-23,-2,9,0,11,0,0
2020-05-29,1,10,0,11,0,0
2020-06-01,1,11,0,11,0,0
2020-06-02,1,12,0,11,1,1
2020-06-03,1,13,0,11,0,1
2020-06-04,2,15,0,11,0,1
2020-06-05,1,16,0,11,0,1
2020-06-06,5,21,0,11,0,1
2020-06-07,19,40,0,11,0,1
2020-06-08,0,40,1,12,0,1
2020-06-09,0,40,0,12,1,2
2020-06-10,2,42,0,12,1,3
2020-06-11,3,45,0,12,0,3
2020-06-12,3,48,8,20,0,3
2020-06-13,9,57,0,20,0,3
2020-06-14,6,63,0,20,0,3
2020-06-15,2,65,8,28,0,3
2020-06-16,6,71,4,32,0,3
2020-06-17,2,73,1,33,0,3
2020-06-18,12,85,4,37,0,3
2020-06-19,1,86,1,38,0,3
2020-06-20,6,92,5,43,0,3
2020-06-21,3,95,0,43,0,3
2020-06-22,1,96,8,51,0,3
2020-06-23,11,107,8,59,0,3
2020-06-24,1,108,2,61,0,3
2020-06-25,0,108,3,64,0,3
2020-06-26,14,122,15,79,0,3
2020-06-27,8,130,4,83,0,3
2020-06-28,7,137,5,88,0,3
2020-06-29,30,167,11,99,0,3
2020-06-30,1,168,3,102,0,3
2020-07-01,0,168,4,106,0,3
2020-07-02,-3,165,0,106,0,3
2020-07-03,1,166,12,118,0,3
2020-07-04,2,168,8,126,0,3
2020-07-05,0,168,7,133,0,3
2020-07-06,1,169,13,146,0,3
2020-07-07,2,171,16,162,0,3
2020-07-08,6,177,3,165,0,3
2020-07-09,5,182,1,166,0,3
2020-07-10,5,187,0,166,0,3
