dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-17,1,1,0,0,0,0
2020-05-22,3,4,0,0,0,0
2020-05-25,1,5,0,0,0,0
2020-05-26,0,5,1,1,0,0
2020-05-29,0,5,3,4,0,0
2020-06-01,1,6,0,4,0,0
2020-06-02,1,7,0,4,0,0
2020-06-04,3,10,0,4,0,0
2020-06-12,0,10,1,5,0,0
2020-06-13,0,10,2,7,0,0
2020-06-14,2,12,0,7,0,0
2020-06-16,5,17,1,8,0,0
2020-06-17,4,21,0,8,0,0
2020-06-18,0,21,1,9,0,0
2020-06-20,1,22,0,9,0,0
2020-06-21,4,26,0,9,0,0
2020-06-22,0,26,1,10,0,0
2020-06-23,0,26,5,15,0,0
2020-06-24,0,26,1,16,0,0
2020-06-25,3,29,4,20,0,0
2020-06-27,0,29,1,21,0,0
2020-06-28,6,35,3,24,0,0
2020-06-29,6,41,0,24,0,0
2020-07-02,0,41,3,27,0,0
2020-07-07,6,47,13,40,0,0
2020-07-08,1,48,0,40,0,0
2020-07-09,0,48,2,42,0,0
2020-07-10,0,48,1,43,0,0
