dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,6,6,0,0,0,0
2020-05-09,0,6,3,3,0,0
2020-05-11,0,6,2,5,0,0
2020-05-13,0,6,1,6,0,0
2020-05-17,2,8,0,6,0,0
2020-05-22,5,13,0,6,0,0
2020-05-26,0,13,1,7,0,0
2020-05-29,6,19,5,12,0,0
2020-06-03,4,23,0,12,0,0
2020-06-04,4,27,5,17,0,0
2020-06-05,0,27,1,18,0,0
2020-06-06,2,29,0,18,0,0
2020-06-07,46,75,-5,13,0,0
2020-06-08,6,81,0,13,0,0
2020-06-09,0,81,1,14,0,0
2020-06-11,2,83,2,16,0,0
2020-06-12,0,83,2,18,0,0
2020-06-13,5,88,17,35,0,0
2020-06-14,0,88,5,40,0,0
2020-06-16,1,89,2,42,0,0
2020-06-17,0,89,7,49,0,0
2020-06-18,2,91,25,74,0,0
2020-06-20,0,91,4,78,0,0
2020-06-22,1,92,2,80,0,0
2020-06-25,0,92,6,86,0,0
2020-06-26,3,95,0,86,0,0
2020-06-27,1,96,0,86,0,0
2020-06-28,8,104,0,86,0,0
2020-06-29,1,105,8,94,0,0
2020-07-01,4,109,0,94,0,0
2020-07-03,1,110,0,94,0,0
2020-07-04,0,110,0,94,0,0
2020-07-05,0,110,2,96,0,0
2020-07-06,0,110,4,100,0,0
2020-07-08,0,110,2,102,0,0
2020-07-09,1,111,7,109,0,0
2020-07-10,0,111,1,110,0,0
