dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-30,1,1,0,0,0,0
2020-04-04,1,2,0,0,0,0
2020-04-07,0,2,1,1,0,0
2020-04-09,8,10,0,1,0,0
2020-04-11,7,17,0,1,0,0
2020-04-12,6,23,1,2,0,0
2020-04-14,2,25,3,5,0,0
2020-04-16,3,28,0,5,0,0
2020-04-28,0,28,2,7,0,0
2020-04-30,0,28,2,9,0,0
2020-05-19,1,29,0,9,0,0
2020-05-22,12,41,0,9,0,0
2020-05-26,0,41,1,10,0,0
2020-05-29,1,42,0,10,0,0
2020-05-31,5,47,3,13,0,0
2020-06-01,4,51,0,13,0,0
2020-06-02,3,54,0,13,0,0
2020-06-05,40,94,2,15,0,0
2020-06-06,3,97,0,15,0,0
2020-06-07,11,108,0,15,0,0
2020-06-08,17,125,4,19,0,0
2020-06-10,2,127,0,19,0,0
2020-06-11,37,164,12,31,0,0
2020-06-12,15,179,9,40,0,0
2020-06-13,13,192,17,57,0,0
2020-06-14,47,239,3,60,0,0
2020-06-15,14,253,-3,57,0,0
2020-06-16,-4,249,32,89,0,0
2020-06-17,4,253,27,116,0,0
2020-06-18,4,257,-15,101,0,0
2020-06-19,0,257,39,140,0,0
2020-06-20,2,259,3,143,0,0
2020-06-21,39,298,3,146,0,0
2020-06-22,6,304,8,154,0,0
2020-06-23,1,305,0,154,0,0
2020-06-24,1,306,28,182,0,0
2020-06-25,0,306,33,215,0,0
2020-06-26,0,306,13,228,0,0
2020-06-27,0,306,2,230,0,0
2020-06-28,0,306,11,241,0,0
2020-06-29,1,307,0,241,0,0
2020-06-30,2,309,4,245,0,0
2020-07-01,-2,307,5,250,0,0
2020-07-02,1,308,21,271,0,0
2020-07-04,0,308,9,280,0,0
2020-07-05,11,319,5,285,0,0
2020-07-06,4,323,0,285,0,0
2020-07-08,7,330,4,289,0,0
2020-07-09,9,339,4,293,0,0
2020-07-10,1,340,0,293,0,0
