dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-29,1,1,0,0,0,0
2020-05-31,18,19,0,0,0,0
2020-06-01,1,20,0,0,0,0
2020-06-04,31,51,0,0,0,0
2020-06-07,6,57,0,0,0,0
2020-06-08,0,57,5,5,0,0
2020-06-09,0,57,4,9,0,0
2020-06-11,7,64,9,18,0,0
2020-06-12,0,64,1,19,0,0
2020-06-13,8,72,17,36,0,0
2020-06-14,0,72,13,49,0,0
2020-06-15,0,72,6,55,1,1
2020-06-16,2,74,0,55,0,1
2020-06-17,4,78,0,55,0,1
2020-06-18,-1,77,1,56,0,1
2020-06-19,0,77,4,60,0,1
2020-06-20,0,77,1,61,0,1
2020-06-21,0,77,3,64,0,1
2020-06-22,0,77,3,67,0,1
2020-06-23,5,82,2,69,0,1
2020-06-24,0,82,4,73,0,1
2020-06-25,0,82,1,74,0,1
2020-06-27,3,85,3,77,0,1
2020-06-29,3,88,0,77,0,1
2020-06-30,0,88,1,78,0,1
2020-07-01,0,88,2,80,0,1
2020-07-02,0,88,1,81,0,1
2020-07-04,0,88,1,82,0,1
2020-07-05,0,88,1,83,0,1
2020-07-06,1,89,4,87,0,1
2020-07-07,0,89,1,88,0,1
2020-07-10,1,90,1,89,0,1
