dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,0,0,1,1,0,0
2020-03-31,0,0,1,2,0,0
2020-05-19,4,4,0,2,0,0
2020-05-20,1,5,0,2,0,0
2020-05-21,4,9,0,2,0,0
2020-05-22,2,11,0,2,0,0
2020-05-23,10,21,0,2,0,0
2020-05-25,1,22,0,2,0,0
2020-05-26,12,34,0,2,0,0
2020-05-27,1,35,0,2,0,0
2020-05-28,-1,34,0,2,0,0
2020-05-31,1,35,0,2,0,0
2020-06-01,1,36,0,2,0,0
2020-06-04,8,44,0,2,0,0
2020-06-05,2,46,0,2,0,0
2020-06-06,4,50,0,2,0,0
2020-06-07,1,51,0,2,0,0
2020-06-08,5,56,34,36,0,0
2020-06-09,2,58,1,37,0,0
2020-06-11,6,64,0,37,0,0
2020-06-12,1,65,1,38,0,0
2020-06-13,13,78,9,47,0,0
2020-06-15,6,84,5,52,0,0
2020-06-16,6,90,7,59,0,0
2020-06-17,1,91,1,60,0,0
2020-06-18,5,96,5,65,0,0
2020-06-19,3,99,4,69,1,1
2020-06-20,57,156,2,71,0,1
2020-06-21,14,170,14,85,0,1
2020-06-22,15,185,0,85,1,2
2020-06-23,21,206,1,86,0,2
2020-06-24,2,208,3,89,0,2
2020-06-25,4,212,0,89,0,2
2020-06-26,5,217,11,100,0,2
2020-06-27,25,242,1,101,0,2
2020-06-28,25,267,63,164,0,2
2020-06-29,5,272,32,196,0,2
2020-06-30,1,273,14,210,0,2
2020-07-01,18,291,2,212,0,2
2020-07-02,-1,290,5,217,0,2
2020-07-03,7,297,6,223,0,2
2020-07-04,1,298,40,263,0,2
2020-07-06,21,319,17,280,0,2
2020-07-07,1,320,0,280,0,2
2020-07-08,10,330,19,299,0,2
2020-07-09,1,331,3,302,0,2
2020-07-10,9,340,8,310,0,2
