dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-18,1,1,0,0,0,0
2020-05-20,1,2,0,0,0,0
2020-05-21,1,3,0,0,0,0
2020-05-23,3,6,0,0,0,0
2020-05-25,1,7,0,0,0,0
2020-05-31,2,9,0,0,0,0
2020-06-01,0,9,1,1,0,0
2020-06-03,0,9,3,4,0,0
2020-06-04,0,9,2,6,0,0
2020-06-06,5,14,1,7,0,0
2020-06-08,10,24,0,7,0,0
2020-06-10,2,26,0,7,0,0
2020-06-11,1,27,1,8,0,0
2020-06-12,0,27,1,9,0,0
2020-06-14,0,27,2,11,0,0
2020-06-15,0,27,15,26,0,0
2020-06-17,0,27,1,27,0,0
2020-06-18,-2,25,-2,25,0,0
2020-06-19,17,42,0,25,0,0
2020-06-21,1,43,0,25,0,0
2020-06-23,6,49,0,25,0,0
2020-06-26,1,50,17,42,0,0
2020-06-29,0,50,1,43,0,0
2020-06-30,3,53,3,46,0,0
2020-07-01,0,53,3,49,0,0
2020-07-02,3,56,0,49,0,0
2020-07-04,2,58,0,49,0,0
2020-07-05,4,62,0,49,0,0
2020-07-06,1,63,0,49,0,0
2020-07-08,6,69,3,52,0,0
2020-07-09,6,75,0,52,1,1
2020-07-10,9,84,3,55,0,1
