dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-05,1,1,0,0,0,0
2020-05-12,0,1,1,1,0,0
2020-05-23,1,2,0,1,0,0
2020-06-01,1,3,0,1,0,0
2020-06-03,8,11,0,1,0,0
2020-06-04,3,14,0,1,0,0
2020-06-06,5,19,0,1,0,0
2020-06-07,1,20,1,2,0,0
2020-06-08,2,22,0,2,0,0
2020-06-10,5,27,0,2,0,0
2020-06-11,1,28,0,2,0,0
2020-06-13,1,29,0,2,0,0
2020-06-14,1,30,0,2,0,0
2020-06-16,9,39,7,9,0,0
2020-06-17,5,44,3,12,0,0
2020-06-18,1,45,2,14,0,0
2020-06-19,4,49,0,14,0,0
2020-06-20,6,55,12,26,0,0
2020-06-21,4,59,0,26,0,0
2020-06-22,3,62,0,26,0,0
2020-06-23,6,68,0,26,0,0
2020-06-24,0,68,3,29,0,0
2020-06-25,11,79,0,29,0,0
2020-06-26,8,87,9,38,0,0
2020-06-27,8,95,5,43,0,0
2020-06-28,1,96,5,48,0,0
2020-06-29,5,101,0,48,0,0
2020-06-30,6,107,6,54,0,0
2020-07-01,2,109,4,58,0,0
2020-07-02,15,124,3,61,0,0
2020-07-03,35,159,7,68,0,0
2020-07-04,14,173,0,68,0,0
2020-07-05,13,186,10,78,0,0
2020-07-06,7,193,8,86,0,0
2020-07-07,9,202,8,94,0,0
2020-07-08,1,203,1,95,0,0
2020-07-09,3,206,5,100,0,0
2020-07-10,5,211,6,106,0,0
