dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,3,3,0,0,0,0
2020-04-04,1,4,0,0,0,0
2020-06-14,0,4,0,0,0,0
2020-06-16,0,4,0,0,0,0
2020-06-17,1,5,0,0,0,0
2020-06-18,3,8,0,0,0,0
2020-06-19,7,15,0,0,0,0
2020-06-21,7,22,0,0,0,0
2020-06-22,3,25,0,0,1,1
2020-06-23,2,27,0,0,0,1
2020-06-24,10,37,0,0,0,1
2020-06-25,4,41,0,0,0,1
2020-06-26,6,47,0,0,0,1
2020-06-27,11,58,0,0,0,1
2020-06-28,3,61,6,6,0,1
2020-06-29,23,84,16,22,0,1
2020-06-30,18,102,0,22,0,1
2020-07-01,18,120,0,22,1,2
2020-07-02,21,141,10,32,0,2
2020-07-03,33,174,1,33,0,2
2020-07-04,56,230,45,78,0,2
2020-07-05,51,281,8,86,0,2
2020-07-06,26,307,9,95,0,2
2020-07-07,40,347,1,96,1,3
2020-07-08,22,369,4,100,0,3
2020-07-09,24,393,29,129,0,3
