dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-06-10,4,4,0,0,0,0
2020-06-11,51,55,0,0,0,0
2020-06-12,5,60,0,0,0,0
2020-06-13,5,65,0,0,0,0
2020-06-14,2,67,0,0,0,0
2020-06-15,1,68,0,0,0,0
2020-06-16,8,76,0,0,0,0
2020-06-18,0,76,6,6,0,0
2020-06-19,1,77,0,6,0,0
2020-06-20,1,78,0,6,0,0
2020-06-21,4,82,0,6,0,0
2020-06-22,7,89,0,6,0,0
2020-06-24,0,89,2,8,0,0
2020-06-25,7,96,0,8,0,0
2020-06-26,4,100,0,8,0,0
2020-06-27,0,100,1,9,0,0
2020-06-28,6,106,0,9,0,0
2020-06-29,7,113,0,9,0,0
2020-06-30,3,116,0,9,0,0
2020-07-01,9,125,0,9,0,0
2020-07-04,0,125,8,17,0,0
2020-07-05,1,126,0,17,0,0
2020-07-06,4,130,0,17,0,0
2020-07-07,3,133,0,17,0,0
2020-07-08,0,133,6,23,0,0
2020-07-09,0,133,1,24,0,0
