dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-14,8,8,0,0,0,0
2020-05-16,5,13,0,0,0,0
2020-05-17,9,22,0,0,0,0
2020-05-18,9,31,0,0,0,0
2020-05-19,8,39,0,0,0,0
2020-05-20,4,43,0,0,0,0
2020-05-21,2,45,0,0,0,0
2020-05-22,2,47,9,9,0,0
2020-05-23,1,48,0,9,0,0
2020-05-24,11,59,0,9,0,0
2020-05-25,0,59,3,12,0,0
2020-05-30,1,60,0,12,0,0
2020-05-31,1,61,0,12,0,0
2020-06-01,2,63,0,12,0,0
2020-06-02,6,69,0,12,0,0
2020-06-03,47,116,0,12,0,0
2020-06-04,40,156,0,12,0,0
2020-06-05,30,186,0,12,0,0
2020-06-06,62,248,0,12,0,0
2020-06-07,30,278,0,12,0,0
2020-06-08,45,323,48,60,0,0
2020-06-09,29,352,0,60,0,0
2020-06-10,24,376,0,60,0,0
2020-06-11,-21,355,0,60,0,0
2020-06-12,39,394,0,60,0,0
2020-06-13,54,448,0,60,0,0
2020-06-14,35,483,0,60,0,0
2020-06-15,17,500,1,61,0,0
2020-06-16,30,530,1,62,0,0
2020-06-17,16,546,1,63,0,0
2020-06-18,40,586,2,65,0,0
2020-06-19,4,590,0,65,0,0
2020-06-20,17,607,0,65,0,0
2020-06-21,47,654,0,65,0,0
2020-06-22,24,678,5,70,0,0
2020-06-23,13,691,23,93,1,1
2020-06-24,2,693,52,145,0,1
2020-06-25,19,712,32,177,0,1
2020-06-26,14,726,15,192,0,1
2020-06-27,31,757,2,194,0,1
2020-06-28,22,779,13,207,1,2
2020-06-29,14,793,21,228,0,2
2020-06-30,1,794,30,258,0,2
2020-07-01,4,798,33,291,0,2
2020-07-02,34,832,14,305,0,2
2020-07-03,29,861,5,310,0,2
2020-07-04,63,924,11,321,2,4
2020-07-05,7,931,85,406,1,5
2020-07-06,25,956,119,525,0,5
2020-07-07,9,965,56,581,0,5
2020-07-08,92,1057,19,600,0,5
2020-07-09,54,1111,2,602,1,6
