dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-13,1,1,0,0,0,0
2020-05-17,1,2,0,0,0,0
2020-05-23,2,4,0,0,0,0
2020-05-25,2,6,0,0,0,0
2020-05-26,1,7,0,0,0,0
2020-05-27,1,8,0,0,0,0
2020-05-28,0,8,2,2,0,0
2020-05-30,1,9,0,2,0,0
2020-05-31,1,10,0,2,1,1
2020-06-05,4,14,0,2,0,1
2020-06-06,0,14,2,4,0,1
2020-06-07,1,15,2,6,0,1
2020-06-08,1,16,0,6,0,1
2020-06-09,3,19,2,8,1,2
2020-06-10,0,19,1,9,0,2
2020-06-12,2,21,0,9,0,2
2020-06-13,3,24,0,9,2,4
2020-06-14,3,27,0,9,0,4
2020-06-15,1,28,1,10,0,4
2020-06-16,4,32,1,11,0,4
2020-06-17,2,34,0,11,0,4
2020-06-18,2,36,0,11,0,4
2020-06-20,4,40,2,13,0,4
2020-06-21,4,44,0,13,0,4
2020-06-22,2,46,1,14,0,4
2020-06-23,1,47,3,17,1,5
2020-06-24,4,51,4,21,0,5
2020-06-25,3,54,2,23,0,5
2020-06-26,5,59,2,25,0,5
2020-06-27,3,62,3,28,0,5
2020-06-28,10,72,1,29,0,5
2020-06-29,10,82,3,32,1,6
2020-06-30,3,85,1,33,1,7
2020-07-01,3,88,3,36,1,8
2020-07-02,7,95,6,42,0,8
2020-07-04,2,97,4,46,0,8
2020-07-05,1,98,0,46,0,8
2020-07-06,7,105,2,48,0,8
2020-07-07,6,111,0,48,0,8
2020-07-08,7,118,18,66,1,9
2020-07-09,8,126,9,75,0,9
2020-07-10,3,129,3,78,0,9
