dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-16,1,1,0,0,0,0
2020-04-18,0,1,0,0,1,1
2020-04-20,6,7,0,0,0,1
2020-04-21,5,12,0,0,0,1
2020-04-22,5,17,0,0,0,1
2020-04-23,1,18,0,0,0,1
2020-04-30,1,19,0,0,0,1
2020-05-02,0,19,6,6,0,1
2020-05-03,1,20,2,8,0,1
2020-05-04,0,20,5,13,0,1
2020-05-05,2,22,1,14,1,2
2020-05-07,25,47,0,14,0,2
2020-05-08,20,67,0,14,0,2
2020-05-09,4,71,2,16,0,2
2020-05-10,2,73,6,22,0,2
2020-05-11,1,74,0,22,0,2
2020-05-12,1,75,0,22,0,2
2020-05-13,1,76,0,22,0,2
2020-05-15,1,77,19,41,0,2
2020-05-16,0,77,21,62,0,2
2020-05-17,1,78,7,69,0,2
2020-05-18,3,81,4,73,0,2
2020-05-19,1,82,2,75,1,3
2020-05-20,4,86,0,75,0,3
2020-05-21,7,93,0,75,0,3
2020-05-22,0,93,1,76,0,3
2020-05-23,5,98,1,77,0,3
2020-05-24,1,99,0,77,0,3
2020-05-26,2,101,0,77,0,3
2020-05-27,0,101,1,78,0,3
2020-05-28,1,102,10,88,0,3
2020-05-29,1,103,9,97,0,3
2020-05-30,6,109,2,99,0,3
2020-05-31,1,110,1,100,1,4
2020-06-01,1,111,3,103,1,5
2020-06-02,0,111,3,106,2,7
2020-06-03,2,113,0,106,0,7
2020-06-04,4,117,1,107,0,7
2020-06-05,1,118,4,111,0,7
2020-06-06,2,120,0,111,0,7
2020-06-07,1,121,1,112,0,7
2020-06-08,4,125,0,112,0,7
2020-06-09,1,126,2,114,1,8
2020-06-10,4,130,1,115,2,10
2020-06-11,2,132,2,117,1,11
2020-06-12,1,133,1,118,1,12
2020-06-13,5,138,1,119,0,12
2020-06-14,6,144,0,119,1,13
2020-06-15,2,146,2,121,1,14
2020-06-16,4,150,2,123,0,14
2020-06-17,2,152,0,123,0,14
2020-06-18,5,157,2,125,0,14
2020-06-19,7,164,1,126,0,14
2020-06-20,3,167,3,129,0,14
2020-06-21,9,176,3,132,1,15
2020-06-22,0,176,4,136,0,15
2020-06-23,3,179,3,139,0,15
2020-06-24,7,186,5,144,0,15
2020-06-25,2,188,0,144,0,15
2020-06-26,1,189,8,152,2,17
2020-06-27,5,194,8,160,0,17
2020-06-28,4,198,1,161,1,18
2020-06-29,6,204,2,163,0,18
2020-06-30,5,209,4,167,0,18
2020-07-01,3,212,1,168,1,19
2020-07-02,4,216,4,172,0,19
2020-07-03,1,217,0,172,0,19
2020-07-04,7,224,7,179,1,20
2020-07-05,5,229,0,179,0,20
2020-07-06,2,231,4,183,2,22
2020-07-07,4,235,7,190,0,22
2020-07-08,2,237,7,197,0,22
2020-07-09,5,242,2,199,1,23
2020-07-10,2,244,4,203,1,24
