dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-13,2,2,0,0,0,0
2020-04-16,4,6,0,0,0,0
2020-04-17,2,8,0,0,0,0
2020-04-19,2,10,1,1,0,0
2020-04-21,5,15,0,1,0,0
2020-04-22,1,16,0,1,0,0
2020-04-25,11,27,0,1,0,0
2020-04-26,1,28,0,1,0,0
2020-04-27,0,28,0,1,1,1
2020-04-30,0,28,3,4,0,1
2020-05-01,1,29,0,4,0,1
2020-05-02,0,29,10,14,0,1
2020-05-03,7,36,0,14,0,1
2020-05-04,3,39,0,14,0,1
2020-05-05,10,49,0,14,0,1
2020-05-06,15,64,0,14,0,1
2020-05-07,3,67,8,22,1,2
2020-05-08,8,75,3,25,0,2
2020-05-09,2,77,0,25,1,3
2020-05-10,4,81,8,33,0,3
2020-05-12,0,81,3,36,0,3
2020-05-13,1,82,0,36,0,3
2020-05-14,1,83,5,41,0,3
2020-05-15,0,83,8,49,0,3
2020-05-16,0,83,5,54,1,4
2020-05-17,0,83,13,67,0,4
2020-05-18,0,83,6,73,0,4
2020-05-19,3,86,4,77,0,4
2020-05-20,2,88,1,78,0,4
2020-05-21,11,99,0,78,0,4
2020-05-26,3,102,0,78,0,4
2020-05-28,1,103,2,80,0,4
2020-05-29,1,104,3,83,0,4
2020-05-30,3,107,4,87,1,5
2020-05-31,4,111,2,89,0,5
2020-06-01,3,114,0,89,0,5
2020-06-02,1,115,0,89,0,5
2020-06-03,10,125,8,97,0,5
2020-06-04,6,131,0,97,0,5
2020-06-05,1,132,0,97,0,5
2020-06-06,4,136,3,100,0,5
2020-06-07,6,142,1,101,1,6
2020-06-08,2,144,0,101,0,6
2020-06-09,1,145,6,107,0,6
2020-06-10,0,145,0,107,1,7
2020-06-11,2,147,0,107,1,8
2020-06-12,1,148,8,115,0,8
2020-06-13,2,150,2,117,0,8
2020-06-14,1,151,5,122,0,8
2020-06-15,1,152,0,122,0,8
2020-06-16,2,154,0,122,0,8
2020-06-17,2,156,10,132,0,8
2020-06-18,3,159,3,135,0,8
2020-06-19,1,160,0,135,0,8
2020-06-20,3,163,4,139,0,8
2020-06-21,3,166,0,139,0,8
2020-06-22,1,167,0,139,0,8
2020-06-23,0,167,0,139,0,8
2020-06-24,1,168,0,139,0,8
2020-06-25,0,168,4,143,0,8
2020-06-26,0,168,2,145,1,9
2020-06-27,1,169,0,145,2,11
2020-06-28,7,176,6,151,0,11
2020-06-29,1,177,0,151,-1,10
2020-06-30,1,178,2,153,1,11
2020-07-01,12,190,0,153,1,12
2020-07-02,12,202,2,155,0,12
2020-07-03,8,210,0,155,0,12
2020-07-04,10,220,0,155,0,12
2020-07-05,8,228,7,162,0,12
2020-07-06,24,252,1,163,1,13
2020-07-07,12,264,13,176,1,14
2020-07-08,15,279,6,182,0,14
2020-07-09,18,297,2,184,1,15
2020-07-10,14,311,0,184,0,15
