dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-15,1,1,0,0,0,0
2020-04-16,0,1,0,0,1,1
2020-04-17,3,4,0,0,0,1
2020-04-19,1,5,0,0,0,1
2020-04-21,2,7,0,0,0,1
2020-04-22,2,9,0,0,0,1
2020-04-23,2,11,0,0,0,1
2020-04-24,1,12,0,0,0,1
2020-04-27,1,13,0,0,0,1
2020-04-28,6,19,2,2,0,1
2020-04-29,1,20,0,2,0,1
2020-05-01,1,21,0,2,0,1
2020-05-02,6,27,0,2,0,1
2020-05-03,3,30,1,3,0,1
2020-05-04,3,33,3,6,0,1
2020-05-05,8,41,0,6,0,1
2020-05-06,7,48,2,8,0,1
2020-05-08,3,51,3,11,0,1
2020-05-09,2,53,2,13,0,1
2020-05-10,3,56,3,16,0,1
2020-05-11,0,56,2,18,0,1
2020-05-12,0,56,4,22,0,1
2020-05-14,0,56,7,29,0,1
2020-05-15,0,56,12,41,0,1
2020-05-16,0,56,3,44,0,1
2020-05-17,0,56,5,49,0,1
2020-05-19,0,56,2,51,0,1
2020-05-20,0,56,3,54,0,1
2020-05-25,1,57,0,54,0,1
2020-05-27,1,58,0,54,0,1
2020-05-28,1,59,0,54,0,1
2020-06-04,1,60,0,54,1,2
2020-06-05,0,60,1,55,0,2
2020-06-12,4,64,0,55,0,2
2020-06-13,1,65,0,55,0,2
2020-06-14,1,66,0,55,0,2
2020-06-15,1,67,0,55,0,2
2020-06-16,1,68,0,55,0,2
2020-06-17,1,69,0,55,0,2
2020-06-18,1,70,0,55,0,2
2020-06-20,1,71,1,56,0,2
2020-06-21,1,72,0,56,0,2
2020-06-22,2,74,0,56,0,2
2020-06-23,2,76,6,62,0,2
2020-06-24,1,77,0,62,0,2
2020-06-25,1,78,0,62,0,2
2020-06-26,2,80,0,62,0,2
2020-06-27,2,82,1,63,1,3
2020-06-28,3,85,2,65,0,3
2020-06-29,1,86,0,65,0,3
2020-06-30,4,90,0,65,0,3
2020-07-01,2,92,0,65,0,3
2020-07-02,3,95,0,65,0,3
2020-07-03,2,97,0,65,0,3
2020-07-04,2,99,4,69,0,3
2020-07-05,3,102,0,69,0,3
2020-07-06,2,104,0,69,0,3
2020-07-07,1,105,0,69,0,3
2020-07-08,1,106,4,73,0,3
2020-07-09,6,112,0,73,0,3
2020-07-10,2,114,2,75,0,3
