dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-29,1,1,0,0,0,0
2020-03-30,1,2,0,0,0,0
2020-04-13,0,2,1,1,0,0
2020-04-21,1,3,1,2,0,0
2020-05-01,0,3,1,3,0,0
2020-05-08,1,4,0,3,0,0
2020-05-10,8,12,0,3,0,0
2020-05-12,5,17,0,3,0,0
2020-05-13,1,18,0,3,0,0
2020-05-14,4,22,0,3,0,0
2020-05-15,1,23,0,3,0,0
2020-05-17,2,25,0,3,0,0
2020-05-19,3,28,0,3,0,0
2020-05-21,6,34,0,3,0,0
2020-05-22,4,38,0,3,0,0
2020-05-23,6,44,0,3,0,0
2020-05-24,0,44,18,21,0,0
2020-05-25,0,44,1,22,0,0
2020-05-27,0,44,1,23,0,0
2020-05-28,1,45,0,23,0,0
2020-05-29,0,45,4,27,0,0
2020-05-31,0,45,7,34,0,0
2020-06-02,0,45,2,36,0,0
2020-06-03,0,45,6,42,0,0
2020-06-05,0,45,2,44,0,0
2020-06-06,2,47,0,44,0,0
2020-06-07,0,47,1,45,0,0
2020-06-08,1,48,0,45,0,0
2020-06-11,1,49,0,45,0,0
2020-06-13,1,50,0,45,0,0
2020-06-17,3,53,0,45,0,0
2020-06-20,0,53,1,46,0,0
2020-06-21,0,53,1,47,0,0
2020-06-22,2,55,0,47,0,0
2020-06-23,3,58,1,48,0,0
2020-06-24,5,63,0,48,1,1
2020-06-25,4,67,0,48,0,1
2020-06-27,2,69,0,48,0,1
2020-06-28,1,70,0,48,0,1
2020-06-29,3,73,0,48,0,1
2020-06-30,3,76,0,48,0,1
2020-07-01,1,77,0,48,0,1
2020-07-02,3,80,1,49,0,1
2020-07-03,1,81,0,49,0,1
2020-07-04,4,85,0,49,0,1
2020-07-05,4,89,2,51,0,1
2020-07-06,2,91,0,51,0,1
2020-07-07,3,94,0,51,0,1
2020-07-08,4,98,0,51,0,1
2020-07-09,9,107,0,51,0,1
2020-07-10,11,118,0,51,0,1
