dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-05,2,2,0,0,0,0
2020-05-11,1,3,0,0,0,0
2020-05-12,0,3,2,2,0,0
2020-05-13,1,4,0,2,0,0
2020-05-16,1,5,0,2,0,0
2020-05-17,1,6,0,2,0,0
2020-05-18,3,9,0,2,0,0
2020-05-19,3,12,1,3,0,0
2020-05-20,1,13,0,3,0,0
2020-05-21,2,15,0,3,0,0
2020-05-22,3,18,1,4,0,0
2020-05-23,8,26,0,4,0,0
2020-05-25,0,26,4,8,0,0
2020-05-26,1,27,0,8,0,0
2020-05-27,0,27,1,9,0,0
2020-05-28,1,28,3,12,0,0
2020-05-29,1,29,0,12,0,0
2020-05-30,0,29,4,16,0,0
2020-05-31,1,30,8,24,0,0
2020-06-02,0,30,1,25,1,1
2020-06-03,1,31,1,26,0,1
2020-06-05,1,32,1,27,0,1
2020-06-08,4,36,0,27,0,1
2020-06-09,1,37,1,28,0,1
2020-06-10,2,39,1,29,0,1
2020-06-11,3,42,0,29,0,1
2020-06-13,1,43,0,29,0,1
2020-06-15,4,47,0,29,0,1
2020-06-16,0,47,1,30,0,1
2020-06-17,5,52,0,30,0,1
2020-06-18,1,53,0,30,0,1
2020-06-19,4,57,2,32,0,1
2020-06-20,0,57,2,34,0,1
2020-06-21,2,59,0,34,0,1
2020-06-22,7,66,0,34,0,1
2020-06-23,0,66,5,39,0,1
2020-06-24,4,70,4,43,0,1
2020-06-25,4,74,3,46,0,1
2020-06-26,2,76,1,47,0,1
2020-06-27,4,80,1,48,1,2
2020-06-28,10,90,0,48,0,2
2020-06-29,3,93,0,48,0,2
2020-06-30,8,101,0,48,0,2
2020-07-01,7,108,6,54,0,2
2020-07-02,13,121,1,55,1,3
2020-07-03,26,147,2,57,0,3
2020-07-04,10,157,0,57,0,3
2020-07-05,13,170,5,62,0,3
2020-07-06,15,185,1,63,0,3
2020-07-07,13,198,4,67,0,3
2020-07-08,11,209,0,67,0,3
2020-07-09,19,228,3,70,0,3
2020-07-10,18,246,0,70,1,4
