dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,1,1,0,0,0,0
2020-04-06,1,2,0,0,0,0
2020-04-14,2,4,0,0,0,0
2020-04-19,1,5,0,0,0,0
2020-04-20,1,6,0,0,0,0
2020-04-21,1,7,2,2,0,0
2020-04-29,1,8,0,2,0,0
2020-04-30,3,11,3,5,0,0
2020-05-02,0,11,2,7,0,0
2020-05-03,21,32,0,7,0,0
2020-05-05,10,42,0,7,0,0
2020-05-06,0,42,1,8,0,0
2020-05-07,0,42,0,8,1,1
2020-05-10,8,50,12,20,0,1
2020-05-11,2,52,17,37,1,2
2020-05-12,7,59,0,37,0,2
2020-05-13,8,67,0,37,0,2
2020-05-14,6,73,0,37,0,2
2020-05-15,0,73,3,40,1,3
2020-05-16,2,75,0,40,0,3
2020-05-18,0,75,6,46,0,3
2020-05-19,5,80,5,51,0,3
2020-05-21,13,93,0,51,1,4
2020-05-22,2,95,0,51,0,4
2020-05-23,4,99,3,54,0,4
2020-05-24,2,101,1,55,0,4
2020-05-25,1,102,1,56,0,4
2020-05-26,1,103,2,58,0,4
2020-05-27,1,104,2,60,0,4
2020-05-28,1,105,0,60,0,4
2020-05-29,7,112,10,70,0,4
2020-05-30,0,112,3,73,1,5
2020-05-31,2,114,0,73,0,5
2020-06-01,6,120,0,73,0,5
2020-06-02,5,125,3,76,1,6
2020-06-03,4,129,0,76,0,6
2020-06-04,9,138,2,78,0,6
2020-06-05,9,147,2,80,0,6
2020-06-06,6,153,3,83,0,6
2020-06-07,6,159,1,84,1,7
2020-06-08,1,160,3,87,0,7
2020-06-09,1,161,5,92,1,8
2020-06-10,4,165,4,96,0,8
2020-06-11,5,170,6,102,0,8
2020-06-12,7,177,5,107,0,8
2020-06-13,6,183,4,111,1,9
2020-06-14,2,185,7,118,1,10
2020-06-15,2,187,0,118,0,10
2020-06-16,3,190,0,118,0,10
2020-06-17,3,193,0,118,0,10
2020-06-19,12,205,6,124,1,11
2020-06-20,4,209,0,124,0,11
2020-06-21,2,211,4,128,0,11
2020-06-22,4,215,8,136,0,11
2020-06-23,5,220,0,136,0,11
2020-06-24,4,224,2,138,0,11
2020-06-25,4,228,0,138,0,11
2020-06-26,7,235,0,138,1,12
2020-06-27,16,251,2,140,0,12
2020-06-28,8,259,0,140,0,12
2020-06-29,10,269,0,140,0,12
2020-06-30,7,276,0,140,0,12
2020-07-01,10,286,3,143,0,12
2020-07-02,9,295,4,147,1,13
2020-07-03,5,300,9,156,0,13
2020-07-04,8,308,0,156,1,14
2020-07-05,9,317,6,162,0,14
2020-07-06,12,329,0,162,0,14
2020-07-07,15,344,2,164,0,14
2020-07-08,15,359,4,168,0,14
2020-07-09,17,376,8,176,0,14
2020-07-10,21,397,7,183,1,15
