dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-05,1,1,0,0,0,0
2020-04-27,0,1,1,1,0,0
2020-05-10,1,2,0,1,0,0
2020-05-19,0,2,1,2,0,0
2020-05-23,1,3,0,2,0,0
2020-05-28,1,4,0,2,0,0
2020-05-30,0,4,1,3,0,0
2020-06-08,0,4,1,4,0,0
2020-06-10,2,6,0,4,0,0
2020-06-11,0,6,0,4,1,1
2020-06-16,1,7,0,4,0,1
2020-06-17,1,8,0,4,0,1
2020-06-18,1,9,0,4,0,1
2020-06-19,0,9,1,5,0,1
2020-06-20,1,10,0,5,0,1
2020-06-25,1,11,1,6,0,1
2020-06-26,2,13,0,6,0,1
2020-06-27,3,16,0,6,0,1
2020-06-28,4,20,1,7,0,1
2020-06-29,0,20,1,8,0,1
2020-06-30,2,22,1,9,0,1
2020-07-01,4,26,0,9,0,1
2020-07-02,3,29,4,13,0,1
2020-07-03,2,31,4,17,0,1
2020-07-04,3,34,0,17,0,1
2020-07-05,5,39,0,17,0,1
2020-07-06,4,43,1,18,0,1
2020-07-07,5,48,1,19,1,2
2020-07-08,11,59,1,20,1,3
2020-07-09,4,63,2,22,0,3
2020-07-10,5,68,2,24,0,3
