dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-06,1,2,0,0,0,0
2020-04-07,3,5,0,0,1,1
2020-04-09,7,12,0,0,0,1
2020-04-10,2,14,0,0,0,1
2020-04-13,0,14,4,4,0,1
2020-04-17,1,15,7,11,0,1
2020-04-25,1,16,0,11,0,1
2020-04-26,1,17,0,11,0,1
2020-05-01,1,18,1,12,0,1
2020-05-02,3,21,0,12,0,1
2020-05-03,1,22,0,12,0,1
2020-05-05,2,24,0,12,0,1
2020-05-07,0,24,1,13,0,1
2020-05-08,0,24,2,15,0,1
2020-05-10,3,27,4,19,0,1
2020-05-11,0,27,1,20,0,1
2020-05-12,2,29,1,21,0,1
2020-05-13,2,31,1,22,1,2
2020-05-14,3,34,0,22,0,2
2020-05-15,1,35,0,22,0,2
2020-05-16,3,38,0,22,0,2
2020-05-17,4,42,0,22,0,2
2020-05-18,7,49,3,25,1,3
2020-05-19,4,53,0,25,0,3
2020-05-20,15,68,0,25,1,4
2020-05-21,1,69,0,25,0,4
2020-05-22,0,69,1,26,0,4
2020-05-23,2,71,3,29,0,4
2020-05-24,0,71,1,30,0,4
2020-05-25,1,72,5,35,0,4
2020-05-26,1,73,8,43,1,5
2020-05-27,2,75,8,51,0,5
2020-05-28,1,76,6,57,1,6
2020-05-29,0,76,4,61,0,6
2020-05-30,2,78,1,62,0,6
2020-05-31,1,79,0,62,0,6
2020-06-01,1,80,1,63,0,6
2020-06-02,1,81,1,64,0,6
2020-06-03,5,86,0,64,0,6
2020-06-04,0,86,1,65,1,7
2020-06-05,6,92,2,67,0,7
2020-06-06,6,98,1,68,0,7
2020-06-07,5,103,2,70,0,7
2020-06-09,3,106,1,71,0,7
2020-06-10,1,107,2,73,0,7
2020-06-11,0,107,1,74,1,8
2020-06-12,2,109,0,74,1,9
2020-06-13,3,112,1,75,0,9
2020-06-14,2,114,2,77,0,9
2020-06-15,3,117,4,81,0,9
2020-06-16,3,120,2,83,0,9
2020-06-17,4,124,1,84,0,9
2020-06-18,5,129,3,87,1,10
2020-06-19,8,137,3,90,0,10
2020-06-20,3,140,2,92,0,10
2020-06-21,4,144,2,94,0,10
2020-06-22,3,147,3,97,0,10
2020-06-23,2,149,2,99,1,11
2020-06-24,3,152,1,100,2,13
2020-06-25,2,154,0,100,0,13
2020-06-26,8,162,8,108,1,14
2020-06-27,2,164,3,111,0,14
2020-06-28,11,175,2,113,0,14
2020-06-29,20,195,0,113,1,15
2020-06-30,11,206,0,113,0,15
2020-07-01,2,208,2,115,0,15
2020-07-02,10,218,4,119,1,16
2020-07-03,11,229,0,119,0,16
2020-07-04,6,235,7,126,0,16
2020-07-05,11,246,4,130,0,16
2020-07-06,3,249,0,130,0,16
2020-07-07,5,254,11,141,1,17
2020-07-08,4,258,13,154,0,17
2020-07-09,5,263,0,154,1,18
2020-07-10,4,267,21,175,0,18
