dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,1,1,0,0,0,0
2020-03-24,2,3,0,0,0,0
2020-03-26,2,5,0,0,0,0
2020-03-27,3,8,0,0,0,0
2020-03-29,1,9,0,0,0,0
2020-03-31,1,10,0,0,0,0
2020-04-05,0,10,2,2,0,0
2020-04-07,1,11,0,2,0,0
2020-04-09,2,13,0,2,0,0
2020-04-10,5,18,0,2,0,0
2020-04-11,0,18,1,3,0,0
2020-04-13,0,18,3,6,0,0
2020-04-15,6,24,0,6,0,0
2020-04-16,4,28,0,6,0,0
2020-04-18,2,30,1,7,0,0
2020-04-19,6,36,0,7,0,0
2020-04-20,2,38,3,10,0,0
2020-04-21,2,40,0,10,0,0
2020-04-22,1,41,0,10,0,0
2020-04-25,0,41,2,12,0,0
2020-04-26,4,45,0,12,0,0
2020-04-27,1,46,1,13,0,0
2020-04-28,9,55,0,13,0,0
2020-04-29,3,58,1,14,1,1
2020-04-30,0,58,1,15,0,1
2020-05-01,0,58,1,16,0,1
2020-05-04,3,61,0,16,0,1
2020-05-05,1,62,8,24,0,1
2020-05-07,2,64,0,24,0,1
2020-05-09,2,66,0,24,0,1
2020-05-10,0,66,4,28,0,1
2020-05-11,0,66,16,44,0,1
2020-05-12,0,66,0,44,1,2
2020-05-13,0,66,5,49,0,2
2020-05-15,12,78,0,49,0,2
2020-05-16,1,79,0,49,0,2
2020-05-17,0,79,1,50,0,2
2020-05-18,1,80,0,50,0,2
2020-05-19,2,82,0,50,0,2
2020-05-21,0,82,3,53,0,2
2020-05-22,1,83,0,53,0,2
2020-05-23,4,87,0,53,0,2
2020-05-24,5,92,0,53,0,2
2020-05-25,1,93,11,64,0,2
2020-05-26,1,94,1,65,0,2
2020-05-27,3,97,1,66,0,2
2020-05-28,7,104,0,66,0,2
2020-05-29,1,105,1,67,0,2
2020-05-30,3,108,1,68,0,2
2020-05-31,4,112,0,68,1,3
2020-06-01,3,115,0,68,0,3
2020-06-02,0,115,2,70,0,3
2020-06-03,2,117,0,70,0,3
2020-06-04,2,119,1,71,0,3
2020-06-05,1,120,0,71,0,3
2020-06-06,8,128,0,71,0,3
2020-06-07,3,131,3,74,1,4
2020-06-08,0,131,1,75,1,5
2020-06-09,2,133,3,78,0,5
2020-06-10,5,138,1,79,0,5
2020-06-11,2,140,0,79,0,5
2020-06-12,5,145,0,79,0,5
2020-06-13,3,148,1,80,0,5
2020-06-14,1,149,3,83,0,5
2020-06-15,8,157,2,85,0,5
2020-06-16,10,167,0,85,0,5
2020-06-17,4,171,0,85,0,5
2020-06-18,1,172,0,85,0,5
2020-06-19,5,177,3,88,0,5
2020-06-20,4,181,5,93,0,5
2020-06-21,4,185,0,93,0,5
2020-06-22,1,186,1,94,0,5
2020-06-23,2,188,1,95,0,5
2020-06-24,13,201,7,102,0,5
2020-06-25,14,215,8,110,0,5
2020-06-26,13,228,4,114,0,5
2020-06-27,12,240,0,114,1,6
2020-06-28,10,250,0,114,0,6
2020-06-29,13,263,7,121,1,7
2020-06-30,6,269,3,124,1,8
2020-07-01,15,284,2,126,1,9
2020-07-02,26,310,0,126,0,9
2020-07-03,10,320,0,126,0,9
2020-07-04,47,367,23,149,4,13
2020-07-05,42,409,6,155,0,13
2020-07-06,21,430,0,155,0,13
2020-07-07,40,470,9,164,1,14
2020-07-08,39,509,0,164,3,17
2020-07-09,20,529,12,176,0,17
2020-07-10,39,568,3,179,0,17
