dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-21,3,3,0,0,0,0
2020-04-22,0,3,0,0,1,1
2020-04-23,1,4,0,0,0,1
2020-04-24,1,5,0,0,0,1
2020-05-02,1,6,0,0,0,1
2020-05-03,0,6,2,2,0,1
2020-05-06,0,6,1,3,0,1
2020-05-08,0,6,1,4,0,1
2020-05-16,2,8,0,4,0,1
2020-05-17,1,9,0,4,0,1
2020-05-18,6,15,0,4,0,1
2020-05-20,2,17,0,4,0,1
2020-05-22,1,18,0,4,0,1
2020-05-24,1,19,0,4,0,1
2020-05-25,1,20,1,5,0,1
2020-05-26,3,23,0,5,0,1
2020-05-27,10,33,4,9,0,1
2020-05-28,1,34,1,10,0,1
2020-05-29,1,35,0,10,0,1
2020-05-30,0,35,1,11,0,1
2020-05-31,4,39,1,12,0,1
2020-06-01,1,40,1,13,0,1
2020-06-02,1,41,0,13,0,1
2020-06-03,0,41,2,15,0,1
2020-06-04,0,41,3,18,1,2
2020-06-05,5,46,4,22,0,2
2020-06-06,7,53,4,26,0,2
2020-06-07,2,55,0,26,0,2
2020-06-08,0,55,2,28,0,2
2020-06-09,2,57,1,29,0,2
2020-06-11,0,57,0,29,1,3
2020-06-15,2,59,0,29,0,3
2020-06-16,0,59,8,37,0,3
2020-06-17,0,59,4,41,0,3
2020-06-18,0,59,2,43,0,3
2020-06-19,3,62,0,43,0,3
2020-06-20,2,64,0,43,0,3
2020-06-21,5,69,3,46,0,3
2020-06-22,2,71,1,47,0,3
2020-06-23,4,75,0,47,0,3
2020-06-24,5,80,0,47,0,3
2020-06-25,8,88,0,47,0,3
2020-06-27,5,93,0,47,0,3
2020-06-28,36,129,0,47,0,3
2020-06-29,1,130,7,54,0,3
2020-06-30,20,150,0,54,0,3
2020-07-01,15,165,0,54,0,3
2020-07-02,8,173,4,58,1,4
2020-07-03,6,179,5,63,0,4
2020-07-04,19,198,1,64,1,5
2020-07-05,18,216,2,66,0,5
2020-07-06,13,229,5,71,0,5
2020-07-07,21,250,14,85,0,5
2020-07-08,27,277,9,94,0,5
2020-07-09,28,305,5,99,0,5
2020-07-10,5,310,4,103,0,5
