dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-28,1,1,0,0,0,0
2020-04-02,2,3,0,0,0,0
2020-04-10,4,7,0,0,0,0
2020-04-12,0,7,1,1,0,0
2020-04-13,0,7,1,2,0,0
2020-04-18,0,7,1,3,0,0
2020-04-19,4,11,0,3,0,0
2020-04-20,0,11,3,6,0,0
2020-04-21,0,11,1,7,0,0
2020-04-22,1,12,3,10,0,0
2020-04-25,1,13,0,10,0,0
2020-04-27,1,14,0,10,0,0
2020-05-01,0,14,1,11,0,0
2020-05-02,0,14,0,11,1,1
2020-05-04,23,37,0,11,0,1
2020-05-06,4,41,0,11,0,1
2020-05-11,0,41,27,38,0,1
2020-05-12,1,42,0,38,0,1
2020-05-15,0,42,1,39,0,1
2020-05-16,0,42,1,40,0,1
2020-05-26,5,47,0,40,0,1
2020-05-30,3,50,0,40,0,1
2020-05-31,4,54,0,40,0,1
2020-06-02,7,61,0,40,0,1
2020-06-03,8,69,0,40,0,1
2020-06-04,1,70,0,40,0,1
2020-06-05,6,76,3,43,0,1
2020-06-06,4,80,4,47,0,1
2020-06-07,7,87,6,53,0,1
2020-06-08,8,95,0,53,0,1
2020-06-09,3,98,0,53,0,1
2020-06-10,13,111,0,53,0,1
2020-06-11,13,124,2,55,1,2
2020-06-12,28,152,10,65,0,2
2020-06-13,16,168,0,65,0,2
2020-06-14,15,183,8,73,0,2
2020-06-15,4,187,10,83,0,2
2020-06-16,21,208,8,91,0,2
2020-06-17,4,212,18,109,0,2
2020-06-18,25,237,0,109,0,2
2020-06-19,26,263,33,142,0,2
2020-06-20,6,269,11,153,0,2
2020-06-21,4,273,2,155,0,2
2020-06-22,10,283,6,161,0,2
2020-06-23,9,292,6,167,0,2
2020-06-24,7,299,15,182,0,2
2020-06-25,3,302,11,193,0,2
2020-06-26,7,309,27,220,0,2
2020-06-28,5,314,36,256,0,2
2020-06-29,5,319,17,273,0,2
2020-06-30,0,319,19,292,0,2
2020-07-01,9,328,1,293,0,2
2020-07-02,16,344,16,309,0,2
2020-07-03,4,348,2,311,0,2
2020-07-04,10,358,4,315,0,2
2020-07-05,13,371,0,315,1,3
2020-07-06,4,375,0,315,0,3
2020-07-07,3,378,17,332,0,3
2020-07-08,14,392,0,332,1,4
2020-07-09,34,426,25,357,0,4
2020-07-10,27,453,0,357,1,5
