dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,1,1,0,0,0,0
2020-04-28,4,5,0,0,0,0
2020-04-29,1,6,0,0,0,0
2020-04-30,18,24,0,0,0,0
2020-05-01,4,28,0,0,0,0
2020-05-02,12,40,0,0,0,0
2020-05-03,2,42,0,0,0,0
2020-05-04,14,56,0,0,0,0
2020-05-05,8,64,0,0,0,0
2020-05-06,6,70,0,0,0,0
2020-05-07,3,73,0,0,0,0
2020-05-08,1,74,0,0,0,0
2020-05-09,0,74,10,10,0,0
2020-05-11,9,83,0,10,0,0
2020-05-13,1,84,14,24,0,0
2020-05-14,3,87,0,24,0,0
2020-05-16,3,90,4,28,0,0
2020-05-17,0,90,25,53,0,0
2020-05-19,0,90,7,60,0,0
2020-05-20,1,91,2,62,0,0
2020-05-21,0,91,22,84,0,0
2020-05-22,0,91,5,89,0,0
2020-05-23,0,91,1,90,0,0
2020-05-24,2,93,0,90,0,0
2020-05-27,4,97,0,90,0,0
2020-05-30,0,97,2,92,0,0
2020-06-01,4,101,0,92,0,0
2020-06-02,2,103,0,92,0,0
2020-06-04,2,105,0,92,0,0
2020-06-05,2,107,0,92,0,0
2020-06-06,0,107,4,96,0,0
2020-06-07,2,109,0,96,0,0
2020-06-08,2,111,0,96,0,0
2020-06-09,1,112,1,97,0,0
2020-06-10,0,112,2,99,0,0
2020-06-11,4,116,0,99,0,0
2020-06-12,3,119,0,99,0,0
2020-06-13,7,126,1,100,0,0
2020-06-14,6,132,4,104,1,1
2020-06-15,9,141,0,104,1,2
2020-06-16,8,149,4,108,0,2
2020-06-17,9,158,0,108,0,2
2020-06-18,9,167,0,108,0,2
2020-06-19,7,174,0,108,0,2
2020-06-20,6,180,4,112,0,2
2020-06-21,5,185,17,129,0,2
2020-06-22,7,192,0,129,1,3
2020-06-23,9,201,3,132,0,3
2020-06-24,7,208,0,132,0,3
2020-06-25,9,217,4,136,0,3
2020-06-26,9,226,7,143,0,3
2020-06-27,9,235,7,150,1,4
2020-06-28,9,244,0,150,0,4
2020-06-29,9,253,30,180,0,4
2020-06-30,8,261,0,180,0,4
2020-07-01,1,262,6,186,0,4
2020-07-02,35,297,11,197,0,4
2020-07-03,16,313,12,209,0,4
2020-07-04,15,328,4,213,0,4
2020-07-05,13,341,31,244,0,4
2020-07-06,8,349,0,244,0,4
2020-07-07,28,377,3,247,0,4
2020-07-08,27,404,21,268,0,4
2020-07-09,16,420,6,274,0,4
2020-07-10,16,436,8,282,0,4
