dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-04,1,1,0,0,0,0
2020-04-09,1,2,0,0,0,0
2020-04-24,0,2,2,2,0,0
2020-05-10,1,3,0,2,0,0
2020-05-15,2,5,0,2,0,0
2020-05-19,0,5,1,3,0,0
2020-05-24,1,6,0,3,0,0
2020-05-26,0,6,1,4,0,0
2020-05-28,4,10,0,4,0,0
2020-05-29,7,17,0,4,0,0
2020-05-30,1,18,1,5,0,0
2020-06-01,11,29,0,5,0,0
2020-06-02,0,29,1,6,0,0
2020-06-03,1,30,0,6,0,0
2020-06-04,3,33,0,6,0,0
2020-06-05,1,34,1,7,0,0
2020-06-06,9,43,0,7,0,0
2020-06-07,1,44,4,11,0,0
2020-06-08,1,45,6,17,0,0
2020-06-09,0,45,1,18,0,0
2020-06-10,1,46,10,28,0,0
2020-06-12,11,57,0,28,0,0
2020-06-13,0,57,2,30,0,0
2020-06-14,2,59,0,30,0,0
2020-06-15,2,61,0,30,0,0
2020-06-17,0,61,22,52,0,0
2020-06-19,2,63,0,52,0,0
2020-06-20,3,66,0,52,0,0
2020-06-21,2,68,0,52,0,0
2020-06-22,2,70,0,52,0,0
2020-06-25,8,78,2,54,0,0
2020-06-28,7,85,0,54,0,0
2020-06-29,9,94,0,54,0,0
2020-06-30,11,105,0,54,0,0
2020-07-01,1,106,0,54,0,0
2020-07-03,4,110,0,54,0,0
2020-07-06,9,119,1,55,0,0
2020-07-08,3,122,36,91,0,0
2020-07-09,2,124,12,103,0,0
2020-07-10,5,129,0,103,0,0
