dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,1,1,0,0,0,0
2020-04-06,4,5,0,0,1,1
2020-04-12,1,6,0,0,0,1
2020-04-13,0,6,3,3,0,1
2020-04-17,0,6,2,5,0,1
2020-05-05,3,9,0,5,0,1
2020-05-06,5,14,0,5,0,1
2020-05-12,1,15,0,5,0,1
2020-05-14,2,17,0,5,0,1
2020-05-16,0,17,4,9,0,1
2020-05-17,1,18,0,9,0,1
2020-05-18,1,19,0,9,0,1
2020-05-19,1,20,0,9,0,1
2020-05-21,1,21,2,11,0,1
2020-05-22,2,23,0,11,0,1
2020-05-23,1,24,0,11,0,1
2020-05-24,8,32,0,11,0,1
2020-05-25,1,33,5,16,0,1
2020-05-26,3,36,0,16,0,1
2020-05-27,1,37,0,16,0,1
2020-05-28,5,42,0,16,0,1
2020-05-29,6,48,4,20,0,1
2020-05-30,2,50,0,20,0,1
2020-05-31,2,52,0,20,0,1
2020-06-02,4,56,0,20,0,1
2020-06-03,10,66,0,20,0,1
2020-06-04,8,74,5,25,0,1
2020-06-05,7,81,11,36,0,1
2020-06-06,10,91,4,40,0,1
2020-06-07,8,99,1,41,0,1
2020-06-08,6,105,0,41,1,2
2020-06-09,3,108,6,47,0,2
2020-06-11,17,125,0,47,0,2
2020-06-13,3,128,0,47,0,2
2020-06-15,18,146,19,66,0,2
2020-06-16,13,159,2,68,0,2
2020-06-17,16,175,22,90,1,3
2020-06-18,12,187,0,90,0,3
2020-06-19,6,193,0,90,0,3
2020-06-20,21,214,17,107,0,3
2020-06-21,4,218,0,107,0,3
2020-06-22,10,228,14,121,0,3
2020-06-23,8,236,25,146,0,3
2020-06-24,0,236,8,154,0,3
2020-06-25,26,262,8,162,1,4
2020-06-26,7,269,0,162,1,5
2020-06-27,4,273,13,175,1,6
2020-06-29,18,291,22,197,0,6
2020-06-30,20,311,0,197,0,6
2020-07-01,14,325,14,211,0,6
2020-07-02,34,359,5,216,2,8
2020-07-03,8,367,28,244,0,8
2020-07-04,23,390,5,249,0,8
2020-07-05,15,405,0,249,0,8
2020-07-06,16,421,0,249,0,8
2020-07-08,13,434,34,283,0,8
2020-07-09,24,458,0,283,0,8
2020-07-10,24,482,7,290,0,8
