dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-07,2,2,0,0,0,0
2020-05-09,2,4,0,0,0,0
2020-05-11,1,5,0,0,0,0
2020-05-14,1,6,0,0,0,0
2020-05-17,1,7,0,0,0,0
2020-05-18,1,8,4,4,0,0
2020-05-19,2,10,0,4,0,0
2020-05-21,1,11,0,4,0,0
2020-05-22,10,21,0,4,0,0
2020-05-25,0,21,2,6,0,0
2020-05-26,12,33,0,6,0,0
2020-05-27,3,36,0,6,0,0
2020-05-29,3,39,13,19,0,0
2020-05-31,2,41,0,19,0,0
2020-06-02,1,42,2,21,0,0
2020-06-03,28,70,0,21,0,0
2020-06-04,3,73,0,21,0,0
2020-06-05,4,77,12,33,0,0
2020-06-07,25,102,4,37,0,0
2020-06-08,0,102,27,64,0,0
2020-06-09,4,106,0,64,0,0
2020-06-10,0,106,9,73,0,0
2020-06-11,7,113,1,74,0,0
2020-06-13,7,120,11,85,0,0
2020-06-14,2,122,2,87,0,0
2020-06-15,13,135,3,90,0,0
2020-06-16,6,141,0,90,0,0
2020-06-17,0,141,5,95,0,0
2020-06-19,32,173,1,96,0,0
2020-06-21,20,193,20,116,0,0
2020-06-22,7,200,9,125,0,0
2020-06-24,1,201,19,144,0,0
2020-06-25,0,201,3,147,0,0
2020-06-26,10,211,5,152,0,0
2020-06-27,26,237,11,163,0,0
2020-06-28,19,256,0,163,0,0
2020-06-29,3,259,9,172,1,1
2020-06-30,2,261,1,173,0,1
2020-07-01,5,266,8,181,0,1
2020-07-02,10,276,3,184,0,1
2020-07-03,9,285,7,191,0,1
2020-07-04,6,291,9,200,0,1
2020-07-05,6,297,0,200,0,1
2020-07-07,25,322,43,243,0,1
2020-07-08,15,337,2,245,0,1
2020-07-10,68,405,9,254,0,1
